farm_id,crop_GDHTM,crop_CodingBits,crop_8bit,crop_Megalodon,crop_Orion,crop_DeepThinkers,consensus,n_agree,gdhtm_matches_consensus
66,Rice,Rice,Groundnut,Groundnut,Maize,Cotton,Groundnut,2,False
67,Cotton,Groundnut,Maize,Groundnut,Rice,Rice,Groundnut,2,False
68,Cotton,Cotton,Groundnut,Cotton,Maize,Groundnut,Cotton,3,True
69,Cotton,Bajra,Maize,Groundnut,Rice,Rice,Rice,2,False
70,Cotton,Bajra,Maize,Groundnut,Rice,Groundnut,Groundnut,2,False
71,Groundnut,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
72,Maize,Groundnut,Groundnut,Cotton,Maize,Cotton,Cotton,2,False
73,Maize,Bajra,Bajra,Groundnut,Bajra,Groundnut,Bajra,3,False
74,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
75,Cotton,Cotton,Groundnut,Cotton,Maize,Groundnut,Cotton,3,True
76,Cotton,Rice,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
77,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,4,False
78,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
79,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
80,Rice,Groundnut,Groundnut,Groundnut,Bajra,Cotton,Groundnut,3,False
81,Maize,Groundnut,Maize,Groundnut,Rice,Cotton,Groundnut,2,False
82,Maize,Rice,Groundnut,Cotton,Maize,Cotton,Cotton,2,False
83,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,Cotton,3,True
84,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,4,False
85,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
86,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
87,Cotton,Cotton,Maize,Cotton,Maize,Groundnut,Cotton,3,True
88,Rice,Rice,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
89,Rice,Bajra,Groundnut,Bajra,Maize,Groundnut,Bajra,2,False
90,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
91,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
92,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
93,Cotton,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,5,True
94,Cotton,Groundnut,Cotton,Cotton,Cotton,Groundnut,Cotton,4,True
95,Cotton,Groundnut,Maize,Groundnut,Rice,Rice,Groundnut,2,False
96,Cotton,Cotton,Maize,Cotton,Maize,Cotton,Cotton,4,True
97,Cotton,Cotton,Groundnut,Cotton,Maize,Groundnut,Cotton,3,True
98,Cotton,Cotton,Rice,Rice,Groundnut,Rice,Rice,3,False
99,Cotton,Cotton,Cotton,Cotton,Groundnut,Rice,Cotton,4,True
100,Maize,Groundnut,Bajra,Groundnut,Rice,Groundnut,Groundnut,3,False
101,Cotton,Rice,Rice,Groundnut,Groundnut,Maize,Groundnut,2,False
102,Cotton,Rice,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,True
103,Cotton,Cotton,Rice,Rice,Rice,Groundnut,Rice,3,False
104,Groundnut,Rice,Cotton,Cotton,Groundnut,Groundnut,Groundnut,3,True
105,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
106,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
107,Cotton,Rice,Maize,Groundnut,Maize,Groundnut,Groundnut,2,False
108,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
109,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
110,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
111,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
112,Maize,Groundnut,Bajra,Groundnut,Rice,Cotton,Groundnut,2,False
113,Rice,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Groundnut,3,False
114,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,3,False
115,Cotton,Groundnut,Rice,Groundnut,Groundnut,Bajra,Groundnut,3,False
116,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,3,False
117,Cotton,Bajra,Maize,Groundnut,Rice,Rice,Rice,2,False
118,Rice,Bajra,Groundnut,Bajra,Maize,Groundnut,Bajra,2,False
119,Cotton,Bajra,Maize,Groundnut,Rice,Maize,Maize,2,False
120,Cotton,Cotton,Maize,Cotton,Rice,Cotton,Cotton,4,True
121,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
122,Groundnut,Rice,Cotton,Bajra,Groundnut,Cotton,Cotton,2,False
123,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,6,True
124,Groundnut,Maize,Cotton,Groundnut,Bajra,Cotton,Cotton,2,False
125,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,4,True
126,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Groundnut,4,True
127,Groundnut,Cotton,Rice,Cotton,Groundnut,Bajra,Cotton,2,False
128,Groundnut,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
129,Groundnut,Rice,Rice,Rice,Maize,Cotton,Rice,3,False
130,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,Cotton,Groundnut,4,False
131,Groundnut,Cotton,Groundnut,Cotton,Maize,Groundnut,Groundnut,3,True
132,Bajra,Cotton,Rice,Cotton,Groundnut,Groundnut,Cotton,2,False
133,Groundnut,Bajra,Cotton,Groundnut,Maize,Cotton,Cotton,2,False
134,Groundnut,Cotton,Cotton,Cotton,Cotton,Bajra,Cotton,4,False
135,Cotton,Groundnut,Cotton,Groundnut,Maize,Groundnut,Groundnut,3,False
136,Cotton,Cotton,Groundnut,Cotton,Groundnut,Cotton,Cotton,4,True
137,Cotton,Cotton,Cotton,Cotton,Rice,Cotton,Cotton,5,True
138,Cotton,Cotton,Cotton,Cotton,Rice,Cotton,Cotton,5,True
139,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Cotton,Cotton,3,False
140,Cotton,Rice,Cotton,Groundnut,Cotton,Cotton,Cotton,4,True
141,Maize,Maize,Maize,Rice,Maize,Cotton,Maize,4,True
142,Groundnut,Maize,Groundnut,Rice,Maize,Cotton,Groundnut,2,True
143,Cotton,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
144,Groundnut,Rice,Cotton,Cotton,Groundnut,Cotton,Cotton,3,False
145,Groundnut,Maize,Groundnut,Rice,Maize,Groundnut,Groundnut,3,True
146,Cotton,Rice,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,3,False
147,Cotton,Rice,Rice,Groundnut,Rice,Cotton,Rice,3,False
148,Cotton,Rice,Cotton,Groundnut,Cotton,Groundnut,Cotton,3,True
149,Maize,Bajra,Cotton,Cotton,Maize,Cotton,Cotton,3,False
150,Cotton,Rice,Groundnut,Groundnut,Groundnut,Groundnut,Groundnut,4,False
151,Cotton,Groundnut,Maize,Groundnut,Rice,Cotton,Cotton,2,True
152,Groundnut,Rice,Groundnut,Groundnut,Groundnut,Cotton,Groundnut,4,True
153,Cotton,Rice,Cotton,Cotton,Groundnut,Cotton,Cotton,4,True
154,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
155,Bajra,Bajra,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
156,Groundnut,Rice,Groundnut,Bajra,Maize,Groundnut,Groundnut,3,True
157,Groundnut,Groundnut,Rice,Rice,Groundnut,Cotton,Groundnut,3,True
158,Maize,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
159,Cotton,Groundnut,Bajra,Groundnut,Maize,Groundnut,Groundnut,3,False
160,Cotton,Bajra,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,3,False
161,Cotton,Bajra,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
162,Cotton,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,3,True
163,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
164,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
165,Groundnut,Cotton,Cotton,Cotton,Maize,Groundnut,Cotton,3,False
166,Groundnut,Cotton,Groundnut,Cotton,Maize,Groundnut,Groundnut,3,True
167,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
168,Groundnut,Groundnut,Groundnut,Cotton,Maize,Groundnut,Groundnut,4,True
169,Maize,Bajra,Bajra,Groundnut,Rice,Rice,Bajra,2,False
170,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Cotton,Cotton,3,False
171,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Cotton,Cotton,3,True
172,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Cotton,Cotton,3,False
173,Cotton,Groundnut,Cotton,Cotton,Rice,Rice,Cotton,3,True
174,Cotton,Groundnut,Maize,Groundnut,Rice,Groundnut,Groundnut,3,False
175,Cotton,Cotton,Rice,Rice,Maize,Bajra,Cotton,2,True
176,Cotton,Cotton,Cotton,Cotton,Groundnut,Rice,Cotton,4,True
177,Cotton,Cotton,Cotton,Cotton,Maize,Bajra,Cotton,4,True
178,Cotton,Cotton,Cotton,Cotton,Groundnut,Rice,Cotton,4,True
179,Cotton,Groundnut,Maize,Rice,Maize,Rice,Maize,2,False
180,Bajra,Groundnut,Groundnut,Groundnut,Bajra,Rice,Groundnut,3,False
181,Rice,Groundnut,Groundnut,Groundnut,Cotton,Cotton,Groundnut,3,False
182,Rice,Groundnut,Cotton,Groundnut,Cotton,Cotton,Cotton,3,False
183,Rice,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,3,False
184,Rice,Rice,Cotton,Bajra,Groundnut,Groundnut,Groundnut,2,False
185,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
186,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
187,Cotton,Groundnut,Rice,Groundnut,Maize,Groundnut,Groundnut,3,False
188,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
189,Cotton,Rice,Groundnut,Groundnut,Maize,Groundnut,Groundnut,3,False
190,Groundnut,Bajra,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,True
191,Cotton,Cotton,Bajra,Rice,Bajra,Rice,Bajra,2,False
192,Bajra,Cotton,Groundnut,Cotton,Bajra,Cotton,Cotton,3,False
193,Groundnut,Bajra,Groundnut,Groundnut,Groundnut,Groundnut,Groundnut,5,True
194,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
195,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Groundnut,4,True
196,Groundnut,Rice,Rice,Rice,Maize,Cotton,Rice,3,False
197,Bajra,Cotton,Groundnut,Cotton,Bajra,Cotton,Cotton,3,False
198,Groundnut,Maize,Groundnut,Cotton,Maize,Groundnut,Groundnut,3,True
199,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
200,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
201,Groundnut,Groundnut,Cotton,Cotton,Groundnut,Groundnut,Groundnut,4,True
202,Rice,Bajra,Cotton,Groundnut,Maize,Groundnut,Groundnut,2,False
203,Rice,Bajra,Groundnut,Groundnut,Maize,Cotton,Groundnut,2,False
204,Groundnut,Cotton,Rice,Cotton,Groundnut,Groundnut,Groundnut,3,True
205,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
206,Cotton,Rice,Rice,Groundnut,Groundnut,Cotton,Cotton,2,True
207,Cotton,Cotton,Cotton,Cotton,Cotton,Rice,Cotton,5,True
208,Groundnut,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,False
209,Cotton,Rice,Rice,Rice,Groundnut,Bajra,Rice,3,False
210,Cotton,Cotton,Cotton,Groundnut,Groundnut,Rice,Cotton,3,True
211,Cotton,Groundnut,Maize,Rice,Maize,Rice,Maize,2,False
212,Rice,Rice,Cotton,Groundnut,Maize,Groundnut,Groundnut,2,False
213,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
214,Groundnut,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,False
215,Groundnut,Cotton,Groundnut,Cotton,Cotton,Maize,Cotton,3,False
216,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
217,Cotton,Cotton,Groundnut,Cotton,Maize,Groundnut,Cotton,3,True
218,Cotton,Groundnut,Maize,Groundnut,Rice,Rice,Groundnut,2,False
219,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
220,Rice,Rice,Groundnut,Groundnut,Bajra,Maize,Groundnut,2,False
221,Rice,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
222,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
223,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
224,Rice,Cotton,Groundnut,Cotton,Bajra,Cotton,Cotton,3,False
225,Rice,Groundnut,Groundnut,Groundnut,Bajra,Cotton,Groundnut,3,False
226,Rice,Groundnut,Groundnut,Groundnut,Bajra,Cotton,Groundnut,3,False
227,Rice,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,4,False
228,Maize,Groundnut,Bajra,Groundnut,Bajra,Groundnut,Groundnut,3,False
229,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Groundnut,4,True
230,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
231,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,5,True
232,Cotton,Cotton,Groundnut,Cotton,Maize,Bajra,Cotton,3,True
233,Rice,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
234,Groundnut,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,False
235,Cotton,Bajra,Bajra,Groundnut,Rice,Rice,Bajra,2,False
236,Groundnut,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,4,False
237,Cotton,Rice,Groundnut,Cotton,Maize,Groundnut,Cotton,2,True
238,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
239,Groundnut,Cotton,Cotton,Cotton,Cotton,Maize,Cotton,4,False
240,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,Groundnut,Groundnut,5,False
241,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,4,True
242,Bajra,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
243,Maize,Maize,Groundnut,Bajra,Bajra,Cotton,Bajra,2,False
244,Cotton,Cotton,Cotton,Rice,Groundnut,Groundnut,Cotton,3,True
245,Rice,Bajra,Groundnut,Groundnut,Bajra,Cotton,Bajra,2,False
246,Cotton,Cotton,Cotton,Cotton,Cotton,Rice,Cotton,5,True
247,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
248,Cotton,Groundnut,Cotton,Groundnut,Rice,Rice,Cotton,2,True
249,Groundnut,Groundnut,Cotton,Groundnut,Maize,Groundnut,Groundnut,4,True
250,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
251,Groundnut,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,4,False
252,Groundnut,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,4,False
253,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
254,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
255,Bajra,Groundnut,Cotton,Groundnut,Bajra,Cotton,Bajra,2,True
256,Cotton,Cotton,Cotton,Cotton,Maize,Groundnut,Cotton,4,True
257,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
258,Groundnut,Bajra,Cotton,Groundnut,Maize,Groundnut,Groundnut,3,True
259,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
260,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
261,Groundnut,Cotton,Rice,Cotton,Groundnut,Cotton,Cotton,3,False
262,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,4,True
263,Maize,Bajra,Bajra,Rice,Rice,Cotton,Bajra,2,False
264,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
265,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
266,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,4,True
267,Cotton,Cotton,Cotton,Cotton,Cotton,Maize,Cotton,5,True
268,Cotton,Groundnut,Rice,Groundnut,Rice,Rice,Rice,3,False
269,Cotton,Groundnut,Groundnut,Bajra,Maize,Maize,Groundnut,2,False
270,Maize,Maize,Groundnut,Groundnut,Maize,Cotton,Maize,3,True
271,Groundnut,Groundnut,Cotton,Rice,Groundnut,Cotton,Groundnut,3,True
272,Groundnut,Bajra,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,True
273,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
274,Maize,Groundnut,Bajra,Groundnut,Rice,Groundnut,Groundnut,3,False
275,Cotton,Cotton,Maize,Cotton,Maize,Bajra,Cotton,3,True
276,Bajra,Cotton,Groundnut,Cotton,Bajra,Groundnut,Bajra,2,True
277,Groundnut,Groundnut,Cotton,Cotton,Maize,Groundnut,Groundnut,3,True
278,Cotton,Cotton,Cotton,Cotton,Groundnut,Cotton,Cotton,5,True
279,Groundnut,Rice,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,True
280,Groundnut,Groundnut,Cotton,Groundnut,Maize,Cotton,Groundnut,3,True
281,Groundnut,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,5,True
282,Groundnut,Groundnut,Cotton,Groundnut,Cotton,Groundnut,Groundnut,4,True
283,Groundnut,Groundnut,Cotton,Groundnut,Groundnut,Cotton,Groundnut,4,True
284,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,5,True
285,Groundnut,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,5,True
286,Cotton,Rice,Cotton,Rice,Groundnut,Cotton,Cotton,3,True
287,Cotton,Bajra,Maize,Groundnut,Rice,Rice,Rice,2,False
288,Cotton,Bajra,Maize,Groundnut,Maize,Groundnut,Groundnut,2,False
289,Cotton,Cotton,Cotton,Cotton,Groundnut,Rice,Cotton,4,True
290,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
291,Cotton,Cotton,Maize,Cotton,Maize,Bajra,Cotton,3,True
292,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
293,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,5,True
294,Cotton,Cotton,Cotton,Cotton,Rice,Maize,Cotton,4,True
295,Groundnut,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,3,False
296,Cotton,Cotton,Cotton,Cotton,Groundnut,Groundnut,Cotton,4,True
297,Groundnut,Rice,Groundnut,Bajra,Maize,Groundnut,Groundnut,3,True
298,Rice,Rice,Groundnut,Bajra,Maize,Groundnut,Groundnut,2,False
299,Cotton,Maize,Groundnut,Bajra,Maize,Maize,Maize,3,False
300,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,4,False
301,Rice,Maize,Groundnut,Cotton,Bajra,Cotton,Cotton,2,False
302,Bajra,Groundnut,Bajra,Groundnut,Bajra,Groundnut,Bajra,3,True
303,Cotton,Cotton,Groundnut,Cotton,Groundnut,Bajra,Cotton,3,True
304,Cotton,Groundnut,Cotton,Groundnut,Groundnut,Maize,Groundnut,3,False
305,Rice,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
306,Cotton,Cotton,Maize,Rice,Maize,Groundnut,Cotton,2,True
307,Groundnut,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,4,True
308,Groundnut,Cotton,Rice,Cotton,Maize,Bajra,Cotton,2,False
309,Groundnut,Bajra,Cotton,Bajra,Cotton,Cotton,Cotton,3,False
310,Rice,Cotton,Groundnut,Cotton,Maize,Groundnut,Cotton,2,False
311,Cotton,Cotton,Maize,Groundnut,Maize,Cotton,Cotton,3,True
312,Bajra,Groundnut,Bajra,Groundnut,Bajra,Cotton,Bajra,3,True
313,Cotton,Groundnut,Groundnut,Groundnut,Maize,Groundnut,Groundnut,4,False
314,Cotton,Bajra,Cotton,Groundnut,Maize,Groundnut,Cotton,2,True
315,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
316,Cotton,Groundnut,Groundnut,Groundnut,Groundnut,Bajra,Groundnut,4,False
317,Groundnut,Cotton,Groundnut,Cotton,Maize,Cotton,Cotton,3,False
318,Maize,Bajra,Bajra,Groundnut,Bajra,Groundnut,Bajra,3,False
319,Cotton,Cotton,Maize,Rice,Maize,Cotton,Cotton,3,True
320,Cotton,Cotton,Cotton,Cotton,Rice,Rice,Cotton,4,True
321,Cotton,Rice,Rice,Rice,Groundnut,Bajra,Rice,3,False
322,Cotton,Rice,Groundnut,Bajra,Groundnut,Groundnut,Groundnut,3,False
323,Bajra,Groundnut,Bajra,Groundnut,Bajra,Cotton,Bajra,3,True
324,Maize,Groundnut,Bajra,Groundnut,Rice,Cotton,Groundnut,2,False
325,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,6,True
326,Maize,Groundnut,Bajra,Rice,Rice,Cotton,Rice,2,False
327,Groundnut,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,5,False
328,Rice,Groundnut,Groundnut,Groundnut,Maize,Cotton,Groundnut,3,False
329,Bajra,Cotton,Groundnut,Cotton,Bajra,Cotton,Cotton,3,False
