farm_id,capella_crop,independent_crop,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut
281,Groundnut,Cotton,0.1168,0.3863,0.1713,0.1694,0.1562
282,Groundnut,Groundnut,0.1489,0.2174,0.1184,0.2201,0.2952
283,Cotton,Groundnut,0.251,0.0711,0.1061,0.2072,0.3646
284,Groundnut,Rice,0.4238,0.1348,0.0742,0.1836,0.1835
285,Groundnut,Groundnut,0.2078,0.0551,0.1676,0.1896,0.3799
286,Cotton,Groundnut,0.0508,0.1392,0.2815,0.2044,0.3242
287,Cotton,Maize,0.0608,0.1369,0.4486,0.0541,0.2997
288,Cotton,Groundnut,0.1786,0.133,0.1619,0.1547,0.3719
289,Cotton,Cotton,0.0141,0.6162,0.2046,0.0447,0.1205
290,Cotton,Cotton,0.0151,0.7293,0.2014,0.0106,0.0436
291,Cotton,Cotton,0.0164,0.3931,0.3066,0.0702,0.2137
292,Cotton,Cotton,0.0023,0.9428,0.0397,0.0035,0.0117
293,Groundnut,Groundnut,0.0512,0.1344,0.2544,0.2086,0.3514
294,Cotton,Cotton,0.0019,0.8019,0.1531,0.0092,0.034
295,Groundnut,Cotton,0.1979,0.3198,0.1571,0.1307,0.1944
296,Cotton,Cotton,0.2561,0.3659,0.111,0.1155,0.1515
297,Groundnut,Groundnut,0.1434,0.1537,0.2336,0.1932,0.2761
298,Bajra,Rice,0.2887,0.1541,0.0964,0.1885,0.2723
299,Cotton,Bajra,0.1881,0.262,0.071,0.2625,0.2165
300,Cotton,Cotton,0.0423,0.3192,0.2053,0.1408,0.2924
301,Rice,Groundnut,0.0669,0.1182,0.2163,0.2431,0.3554
302,Bajra,Groundnut,0.2535,0.052,0.0721,0.2931,0.3294
303,Cotton,Groundnut,0.0258,0.2496,0.291,0.1327,0.3009
304,Cotton,Groundnut,0.1618,0.1841,0.0619,0.2892,0.303
305,Rice,Cotton,0.067,0.3063,0.1882,0.1557,0.2829
306,Cotton,Cotton,0.0228,0.2875,0.2449,0.1627,0.2822
307,Rice,Groundnut,0.125,0.2418,0.2366,0.1386,0.258
308,Groundnut,Cotton,0.0419,0.4664,0.1886,0.1061,0.1969
309,Groundnut,Bajra,0.135,0.2685,0.0419,0.2932,0.2614
310,Rice,Groundnut,0.0902,0.2477,0.1491,0.1886,0.3243
311,Cotton,Groundnut,0.1959,0.2275,0.0931,0.2142,0.2692
312,Bajra,Groundnut,0.0217,0.169,0.2033,0.2113,0.3947
313,Cotton,Groundnut,0.1074,0.1558,0.1776,0.2026,0.3566
314,Cotton,Groundnut,0.1627,0.173,0.1087,0.1834,0.3722
315,Groundnut,Groundnut,0.1032,0.2421,0.1993,0.1843,0.2711
316,Cotton,Cotton,0.0177,0.4948,0.2468,0.0608,0.1799
317,Groundnut,Rice,0.3402,0.0797,0.0633,0.2696,0.2473
318,Maize,Groundnut,0.0754,0.1358,0.2509,0.1591,0.3788
319,Cotton,Cotton,0.0225,0.393,0.1929,0.1148,0.2767
320,Cotton,Cotton,0.0079,0.6985,0.2293,0.0148,0.0494
321,Cotton,Cotton,0.0129,0.6748,0.1128,0.0692,0.1302
322,Cotton,Cotton,0.0164,0.5268,0.2108,0.0854,0.1607
323,Bajra,Rice,0.3036,0.258,0.0456,0.1912,0.2017
324,Maize,Maize,0.0127,0.0994,0.3898,0.1308,0.3673
325,Cotton,Cotton,0.0088,0.6977,0.0584,0.125,0.1101
326,Maize,Groundnut,0.1086,0.0333,0.0672,0.3539,0.437
327,Groundnut,Rice,0.3399,0.1286,0.0403,0.3046,0.1866
328,Groundnut,Rice,0.363,0.1536,0.0454,0.2615,0.1765
329,Bajra,Groundnut,0.2099,0.0695,0.2007,0.2183,0.3016
330,Groundnut,Bajra,0.1031,0.1984,0.0679,0.4109,0.2197
331,Groundnut,Cotton,0.0462,0.3273,0.2044,0.222,0.2001
332,Bajra,Groundnut,0.1165,0.1888,0.0402,0.3033,0.3512
333,Bajra,Groundnut,0.1539,0.1032,0.0544,0.2525,0.436
334,Cotton,Bajra,0.228,0.2586,0.0216,0.2877,0.2041
335,Bajra,Rice,0.725,0.0154,0.0402,0.0769,0.1425
336,Rice,Bajra,0.2049,0.263,0.0308,0.2671,0.2342
337,Groundnut,Cotton,0.1244,0.5456,0.03,0.1784,0.1215
338,Groundnut,Bajra,0.1526,0.2492,0.0624,0.2748,0.261
339,Groundnut,Cotton,0.1621,0.3419,0.1583,0.1522,0.1854
340,Rice,Groundnut,0.0756,0.1541,0.2393,0.2082,0.3228
341,Rice,Groundnut,0.2523,0.0765,0.0807,0.26,0.3306
342,Cotton,Groundnut,0.0623,0.1039,0.2789,0.201,0.354
343,Rice,Groundnut,0.1488,0.2056,0.1392,0.1513,0.3552
344,Cotton,Cotton,0.0136,0.7867,0.1055,0.0256,0.0685
345,Bajra,Rice,0.2801,0.1486,0.0865,0.2105,0.2744
346,Bajra,Groundnut,0.2529,0.0269,0.0506,0.309,0.3607
347,Groundnut,Bajra,0.1609,0.2658,0.0491,0.2965,0.2277
348,Bajra,Groundnut,0.2606,0.0238,0.0425,0.3244,0.3486
349,Groundnut,Bajra,0.1366,0.169,0.0988,0.3506,0.245
350,Groundnut,Cotton,0.0056,0.6817,0.1358,0.0583,0.1187
351,Cotton,Cotton,0.0377,0.3175,0.2067,0.172,0.2661
352,Groundnut,Cotton,0.0269,0.4189,0.2746,0.0878,0.1919
353,Groundnut,Cotton,0.1852,0.2808,0.1905,0.1467,0.1968
354,Bajra,Groundnut,0.1283,0.2447,0.1018,0.2462,0.2791
355,Groundnut,Cotton,0.0345,0.6482,0.0818,0.1234,0.1121
356,Groundnut,Groundnut,0.0662,0.1691,0.2688,0.1624,0.3335
357,Groundnut,Groundnut,0.0728,0.1385,0.26,0.1788,0.3498
358,Groundnut,Groundnut,0.0299,0.1811,0.3259,0.1283,0.3348
359,Groundnut,Cotton,0.0152,0.7456,0.0317,0.0977,0.1098
360,Rice,Cotton,0.0719,0.3699,0.1406,0.169,0.2486
361,Groundnut,Groundnut,0.0395,0.1126,0.3103,0.221,0.3167
362,Groundnut,Rice,0.2916,0.1365,0.0934,0.2048,0.2737
363,Cotton,Groundnut,0.0583,0.0982,0.3529,0.137,0.3536
364,Groundnut,Cotton,0.0655,0.2983,0.28,0.1053,0.2509
365,Bajra,Groundnut,0.1264,0.2598,0.1718,0.1534,0.2886
366,Groundnut,Groundnut,0.2025,0.2048,0.0961,0.2321,0.2645
367,Bajra,Cotton,0.0305,0.3077,0.2725,0.1095,0.2798
368,Groundnut,Cotton,0.0835,0.4058,0.1519,0.132,0.2267
369,Cotton,Groundnut,0.1096,0.2346,0.1329,0.1492,0.3736
370,Cotton,Cotton,0.0478,0.5414,0.1228,0.1151,0.173
371,Cotton,Cotton,0.0786,0.3608,0.1939,0.1352,0.2316
372,Cotton,Cotton,0.1823,0.4369,0.0767,0.1255,0.1785
373,Groundnut,Bajra,0.1061,0.2589,0.0602,0.3484,0.2264
374,Groundnut,Bajra,0.1885,0.1729,0.0335,0.3426,0.2625
375,Rice,Rice,0.3725,0.0815,0.0754,0.2195,0.2511
376,Cotton,Rice,0.3073,0.2248,0.06,0.2112,0.1967
377,Rice,Cotton,0.0862,0.3627,0.1747,0.1589,0.2174
378,Cotton,Cotton,0.0104,0.8581,0.0361,0.0391,0.0563
