farm_id,fpr_survey_number,fpr_sub_survey_number,overlap_frac,lat,lon,area_ha,crop_type,independent_crop,crop_confidence,vf12_crop,vf12_season,notes
208,16.0,,0.813,22.4248,73.170685,0.4266130349569345,Groundnut,Cotton,0.2494,,kharif2025,
223,79.0,,0.931,22.42956,73.173316,0.7449046251333464,Rice,Bajra,0.2993,,kharif2025,
227,75.0,p,0.949,22.426833,73.174876,1.6989458802815125,Rice,Cotton,0.4735,,kharif2025,
229,72.0,,0.977,22.426604,73.173613,0.7804683459311321,Groundnut,Cotton,0.3603,,kharif2025,
233,165.0,,0.998,22.423866,73.173269,1.4462685345625117,Rice,Bajra,0.5528,,kharif2025,
257,770.0,,0.881,22.423556,73.161669,0.2645702222467116,Cotton,Cotton,0.4457,,kharif2025,
282,536.0,,0.668,22.420616,73.161494,0.5657004419728286,Groundnut,Cotton,0.4607,,kharif2025,
283,543.0,,0.899,22.420693,73.16213,0.3010912574216349,Groundnut,Rice,0.2607,,kharif2025,
307,274.0,,0.724,22.418263,73.16665,0.4510876346187722,Groundnut,Groundnut,0.2557,,kharif2025,
316,392.0,,0.941,22.417657,73.163234,0.3335159108252412,Cotton,Cotton,0.6741,,kharif2025,
326,519.0,,0.863,22.419152,73.154228,0.8775631379416673,Maize,Groundnut,0.7516,,kharif2025,
328,516.0,,0.935,22.417831,73.154388,0.7612845343969405,Rice,Rice,0.3358,,kharif2025,
335,591.0,,0.948,22.42055,73.157525,0.8936061282675993,Rice,Rice,0.4674,,kharif2025,
336,592.0,/p૧,0.694,22.421201,73.157856,0.5467712647381995,Groundnut,Groundnut,0.2504,,kharif2025,
337,590.0,/p૩,0.927,22.420796,73.158655,0.4080617585056155,Groundnut,Cotton,0.3919,,kharif2025,
346,602.0,,0.969,22.420222,73.154414,0.9825367848894824,Bajra,Groundnut,0.3737,,kharif2025,
349,608.0,,0.966,22.419855,73.152879,1.1666711468102835,Rice,Bajra,0.3093,,kharif2025,
359,612.0,,0.958,22.420377,73.151698,1.1243145242197328,Groundnut,Cotton,0.6113,,kharif2025,
364,679.0,,0.996,22.415151,73.143888,0.3985669466216266,Groundnut,Cotton,0.2747,,kharif2025,
375,513.0,,1.0,22.417895,73.15239,0.7496783738599766,Rice,Rice,0.3587,,kharif2025,
420,971.0,,1.0,22.432032,73.148889,0.1190419878866117,Maize,Cotton,0.3095,,kharif2025,
423,948.0,,0.936,22.432144,73.148092,0.1273410501554589,Maize,Cotton,0.3816,,kharif2025,
430,969.0,,1.0,22.432734,73.147405,0.0989364261380969,Cotton,Groundnut,0.5186,,kharif2025,
454,886.0,,0.887,22.429543,73.144634,0.3054868557778105,Bajra,Cotton,0.3605,,kharif2025,
475,1004.0,p,0.966,22.432693,73.151711,0.0917433134354056,Rice,Cotton,0.3322,,kharif2025,
488,1007.0,p,0.94,22.434139,73.148982,0.096307335907597,Groundnut,Cotton,0.482,,kharif2025,
489,1006.0,p,1.0,22.434531,73.149511,0.0804609686412166,Bajra,Cotton,0.4394,,kharif2025,
500,1097.0,,0.694,22.436817,73.162216,0.1377554802401774,Groundnut,Cotton,0.3971,,kharif2025,
508,1095.0,/બ,1.0,22.435631,73.161303,0.2176167412887505,Bajra,Maize,0.3599,,kharif2025,
516,1091.0,,0.92,22.435299,73.161345,0.2840670729549926,Bajra,Rice,0.3331,,kharif2025,
523,1253.0,,0.531,22.433918,73.162158,0.1652413273952201,Cotton,Cotton,0.7772,,kharif2025,
532,1209.0,,0.997,22.430394,73.159007,0.1329832284225276,Maize,Groundnut,0.3787,,kharif2025,
533,1209.0,,0.944,22.430646,73.158644,0.2415115627003901,Cotton,Cotton,0.7476,,kharif2025,
547,1222.0,,0.509,22.430184,73.160824,0.6823035464666509,Groundnut,Groundnut,0.5824,,kharif2025,
553,1220.0,,0.92,22.428426,73.160384,0.1284406975733947,Bajra,Rice,0.4264,,kharif2025,
554,1220.0,,0.969,22.429011,73.160338,0.4613383867075512,Bajra,Rice,0.4015,,kharif2025,
557,804.0,,0.947,22.426764,73.160242,0.2987337725504171,Cotton,Cotton,0.9553,,kharif2025,
559,801.0,,0.926,22.427803,73.159964,0.4174512297340512,Maize,Maize,0.4922,,kharif2025,
570,815.0,p૧/p૧,0.969,22.424993,73.157127,1.6120899250143288,Cotton,Cotton,0.9607,,kharif2025,
591,697.0,p,0.997,22.418143,73.142347,0.1776757317516739,Cotton,Cotton,0.3086,,kharif2025,
638,719.0,,1.0,22.423439,73.143214,0.1231491296264476,Bajra,Maize,0.4608,,kharif2025,
642,728.0,,0.929,22.424131,73.145679,0.0715947223737647,Groundnut,Cotton,0.4241,,kharif2025,
643,729.0,,1.0,22.423138,73.14556,0.2309750544674736,Rice,Cotton,0.371,,kharif2025,
651,731.0,,0.768,22.424432,73.147202,0.2722980272380524,Bajra,Cotton,0.423,,kharif2025,
658,742.0,,0.931,22.423301,73.149854,0.496982340961713,Bajra,Maize,0.3469,,kharif2025,
664,788.0,p૧,0.926,22.427635,73.162928,0.779507829120733,Groundnut,Cotton,0.4219,,kharif2025,
672,813.0,,1.0,22.427107,73.157119,0.0984739360361196,Groundnut,Rice,0.6148,,kharif2025,
678,810.0,,0.951,22.427449,73.158244,0.5203760098108207,Maize,Groundnut,0.4628,,kharif2025,
687,817.0,,0.922,22.426441,73.155335,0.2109250582922887,Cotton,Rice,0.3498,,kharif2025,
689,1243.0,,0.813,22.429589,73.165347,0.7231682935968384,Rice,Groundnut,0.5302,,kharif2025,
690,1245.0,,0.669,22.430386,73.165121,0.7804438702457662,Rice,Cotton,0.4038,,kharif2025,
712,1177.0,,0.849,22.436108,73.166179,0.1901934856010554,Cotton,Groundnut,0.3875,,kharif2025,
720,1163.0,,1.0,22.437223,73.166558,0.2270188182349037,Maize,Cotton,0.4866,,kharif2025,
743,914.0,,0.824,22.426705,73.140825,0.2658589181971164,Groundnut,Cotton,0.3021,,kharif2025,
762,852.0,,1.0,22.428334,73.146394,0.2630388674465399,Bajra,Rice,0.4135,,kharif2025,
771,830.0,,0.849,22.42603,73.151075,0.1772280492169337,Cotton,Cotton,0.3824,,kharif2025,
774,832.0,,0.838,22.424844,73.150155,0.1543313422773751,Maize,Cotton,0.416,,kharif2025,
777,827.0,,0.894,22.42427,73.152383,0.2263347944121557,Bajra,Rice,0.3662,,kharif2025,
785,748.0,/અ,0.832,22.423131,73.151295,0.7169532565048772,Groundnut,Groundnut,0.3088,,kharif2025,
791,901.0,,1.0,22.426322,73.143401,0.083947166842118,Groundnut,Cotton,0.359,,kharif2025,
795,900.0,,0.954,22.427083,73.143236,0.2239105267904143,Maize,Cotton,0.4834,,kharif2025,
799,898.0,,1.0,22.427474,73.142821,0.1107441011746814,Cotton,Cotton,0.521,,kharif2025,
806,881.0,,0.89,22.427501,73.144545,0.0431711042055543,Bajra,Rice,0.6244,,kharif2025,
835,855.0,,0.996,22.429892,73.148679,0.2177995484788423,Maize,Groundnut,0.2578,,kharif2025,
837,1024.0,,0.877,22.433481,73.153285,0.0835616443476218,Bajra,Cotton,0.4535,,kharif2025,
890,1059.0,,1.0,22.439436,73.158911,0.2696928758258272,Bajra,Groundnut,0.516,,kharif2025,
900,1152.0,,0.808,22.440152,73.170126,0.1358093396786282,Maize,Groundnut,0.4308,,kharif2025,
901,1148.0,,0.84,22.441446,73.167361,0.075706859002092,Cotton,Cotton,0.7123,,kharif2025,
904,1148.0,,1.0,22.440643,73.167429,0.0723672564810679,Rice,Cotton,0.3339,,kharif2025,
913,992.0,,0.881,22.43081,73.152703,0.3779617053493314,Bajra,Groundnut,0.3443,,kharif2025,
917,1038.0,,1.0,22.433803,73.153792,0.3287995156658739,Groundnut,Groundnut,0.2667,,kharif2025,
925,1162.0,,0.758,22.438746,73.166344,0.1072210698309332,Maize,Groundnut,0.4459,,kharif2025,
928,867.0,,0.902,22.427667,73.145468,0.242754563762465,Bajra,Rice,0.3139,,kharif2025,
950,1219.0,,1.0,22.42871,73.159877,0.1190642979792507,Groundnut,Rice,0.4124,,kharif2025,
