farm_id,fpr_survey_number,fpr_sub_survey_number,fpr_unique_code,fpr_plot_area,fpr_village_lgd_code,overlap_frac
66,141,,141-,1.0522,519828.0,0.466
67,158,/૧,158-/૧,0.8433,519828.0,0.848
68,157,,157-,0.5117,519828.0,0.916
69,154,/૨,154-/૨,0.888,519828.0,0.842
70,152,,152-,1.0219,519828.0,0.782
71,125,,125-,0.4856,519828.0,0.921
72,96,/p૧,96-/p૧,0.036,519828.0,0.68
73,101,/p૧,101-/p૧,0.2,519828.0,0.001
74,51,/બ,51-/બ,1.4471,519828.0,0.955
75,53,p૧,53-p૧,0.961,519828.0,0.743
76,87,p૧,87-p૧,3.6134,519828.0,0.99
77,85,,85-,0.8296,519828.0,0.782
78,86,,86-,0.9207,519828.0,0.963
79,54,,54-,1.4366,519828.0,0.913
80,54,,54-,1.4366,519828.0,0.619
81,41,p૧,41-p૧,1.6612,519828.0,0.972
82,55,,55-,1.0016,519828.0,0.866
83,82,,82-,0.4148,519828.0,0.622
84,225,,225-,1.5783,519828.0,0.726
85,225,,225-,1.5783,519828.0,0.897
86,229,,229-,1.5681,519828.0,0.55
87,226,,226-,0.7892,519828.0,0.893
88,230,,230-,1.6491,519828.0,0.903
89,232,,232-,0.7284,519828.0,0.932
90,230,,230-,1.6491,519828.0,0.895
91,231,,231-,0.3845,519828.0,1.0
92,230,,230-,1.6491,519828.0,0.635
93,156,,156-,0.4654,519835.0,0.864
94,343,,343-,0.3339,519828.0,0.605
95,344,,344-,0.344,519828.0,0.661
96,349,/p૨,349-/p૨,1.4468,519828.0,0.953
97,350,,350-,1.4771,519828.0,1.0
98,350,,350-,1.4771,519828.0,1.0
99,350,,350-,1.4771,519828.0,0.903
100,351,,351-,1.032,519828.0,0.845
101,352,,352-,0.7284,519828.0,0.633
102,341,,341-,0.9207,519828.0,0.794
103,340,,340-,0.8903,519828.0,0.834
104,339,,339-,0.6274,519828.0,0.449
105,338,,338-,0.4047,519828.0,0.422
106,336,,336-,1.2646,519828.0,0.864
107,192,,192-,0.3237,519828.0,0.866
108,178,,178-,1.9426,519828.0,0.905
109,178,,178-,1.9426,519828.0,0.936
110,181,,181-,0.5564,519828.0,0.579
111,180,,180-,1.0724,519828.0,0.423
112,205,,205-,0.4654,519828.0,0.954
113,183,,183-,0.5463,519828.0,0.811
114,168,,168-,1.295,519828.0,0.436
115,430,,430-,1.123,519828.0,0.767
116,431,,431-,0.4856,519828.0,0.306
117,452,,452-,0.5362,519828.0,0.911
118,451,,451-,1.1129,519828.0,0.903
119,456,,456-,0.6677,519828.0,0.876
120,460,,460-,0.5261,519828.0,0.387
121,459,,459-,0.7183,519828.0,0.473
122,478,,478-,0.4856,519828.0,0.473
123,480,,480-,1.3962,519828.0,0.939
124,482,,482-,0.8296,519828.0,0.92
125,449,,449-,1.1736,519828.0,0.928
126,444,,444-,1.4545,519828.0,0.949
127,444,,444-,1.4545,519828.0,0.982
128,429,,429-,0.3946,519828.0,0.565
129,428,,428-,0.3237,519828.0,0.717
130,427,,427-,1.3355,519828.0,0.991
131,426,,426-,0.3845,519828.0,0.906
132,,,,,,
133,424,/અ,424-/અ,0.1516,519828.0,0.569
134,427,,427-,1.3355,519828.0,0.144
135,421,-બ,421--બ,0.4132,519828.0,0.197
136,334,,334-,0.4451,519828.0,0.582
137,316,,316-,1.8615,519828.0,0.884
138,315,,315-,0.9004,519828.0,0.892
139,318,,318-,0.9915,519828.0,0.858
140,317,,317-,0.2428,519828.0,0.832
141,319,,319-,0.516,519828.0,0.745
142,311,,311-,1.0723,519828.0,0.455
143,300,,300-,1.9627,519828.0,0.749
144,314,,314-,1.2444,519828.0,0.437
145,322,,322-,0.4047,519828.0,0.355
146,331,,331-,0.7386,519828.0,0.839
147,330,,330-,0.6779,519828.0,0.933
148,326,,326-,0.2732,519828.0,0.826
149,445,,445-,0.6171,519828.0,0.486
150,357,,357-,1.0117,519828.0,0.947
151,332,,332-,2.6102,519828.0,1.0
152,332,,332-,2.6102,519828.0,0.848
153,332,,332-,2.6102,519828.0,0.999
154,325,,325-,0.2428,519828.0,0.348
155,324,,324-,0.3946,519828.0,0.808
156,310,,310-,0.8296,519828.0,0.973
157,299,,299-,0.4856,519828.0,0.872
158,300,,300-,1.9627,519828.0,0.946
159,301,,301-,0.4857,519828.0,0.615
160,302,,302-,0.6273,519828.0,0.755
161,,,,,,
162,,,,,,
163,366,,366-,1.0623,519828.0,0.797
164,364,,364-,0.8701,519828.0,0.748
165,360,,360-,2.165,519828.0,1.0
166,360,,360-,2.165,519828.0,0.968
167,463,,463-,0.7588,519828.0,0.561
168,477,,477-,0.7588,519828.0,0.824
169,474,,474-,0.5362,519828.0,0.404
170,469,,469-,1.4265,519828.0,1.0
171,469,,469-,1.4265,519828.0,1.0
172,467,,467-,0.4206,519828.0,0.482
173,471,,471-,1.0219,519828.0,0.869
174,670,p,670-p,15.6615,519828.0,1.0
175,662,,662-,0.4148,519828.0,0.729
176,663,,663-,0.4148,519828.0,0.806
177,662,,662-,0.4148,519828.0,0.55
178,667,,667-,0.4755,519828.0,1.0
179,668,,668-,0.263,519828.0,0.765
180,671,,671-,2.0842,519828.0,0.993
181,666,,666-,0.3845,519828.0,0.876
182,671,,671-,2.0842,519828.0,0.648
183,372,,372-,1.2647,519828.0,0.785
184,372,,372-,1.2647,519828.0,0.947
185,367,,367-,0.9814,519828.0,0.5
186,485,,485-,0.8397,519828.0,0.798
187,484,,484-,0.4957,519828.0,1.0
188,506,/૨,506-/૨,2.2865,519828.0,0.927
189,298,,298-,0.4805,519828.0,0.767
190,378,,378-,0.4958,519828.0,0.631
191,397,,397-,0.2732,519828.0,1.0
192,399,/અ,399-/અ,0.5159,519828.0,0.954
193,411,,411-,1.3557,519828.0,0.94
194,406,,406-,0.6175,519828.0,0.912
195,409,,409-,0.6374,519828.0,0.823
196,409,,409-,0.6374,519828.0,0.825
197,410,,410-,0.2125,519828.0,0.896
198,409,,409-,0.6374,519828.0,1.0
199,32,,32-,1.6289,519828.0,0.708
200,31,,31-,0.8701,519828.0,0.823
201,59,,59-,4.9271,519828.0,0.995
202,29,,29-,0.7689,519828.0,0.976
203,28,,28-,0.6677,519828.0,1.0
204,33,,33-,1.0724,519828.0,0.959
205,36,,36-,0.6171,519828.0,0.837
206,1,,1-,0.8296,519828.0,0.876
207,26,,26-,0.5159,519828.0,0.633
208,16,,16-,0.3946,519828.0,0.813
209,27,,27-,0.6981,519828.0,0.93
210,19,,19-,0.0911,519828.0,0.312
211,27,,27-,0.6981,519828.0,0.945
212,59,,59-,4.9271,519828.0,1.0
213,59,,59-,4.9271,519828.0,1.0
214,59,,59-,4.9271,519828.0,1.0
215,59,,59-,4.9271,519828.0,1.0
216,59,,59-,4.9271,519828.0,0.805
217,56,,56-,0.5868,519828.0,0.348
218,81,,81-,1.032,519828.0,0.954
219,81,,81-,1.032,519828.0,0.948
220,80,,80-,0.6273,519828.0,0.962
221,83,,83-,0.4148,519828.0,0.955
222,84,,84-,0.3136,519828.0,0.894
223,79,,79-,1.204,519828.0,0.931
224,79,,79-,1.204,519828.0,0.99
225,78,,78-,0.4249,519828.0,0.755
226,97,/૧,97-/૧,0.7333,519828.0,0.978
227,75,p,75-p,1.8312,519828.0,0.949
228,76,,76-,0.4864,519828.0,0.817
229,72,,72-,0.8289,519828.0,0.977
230,61,,61-,0.8296,519828.0,0.473
231,171,,171-,0.4098,519828.0,0.72
232,175,,175-,0.3339,519828.0,0.888
233,165,,165-,1.7198,519828.0,0.998
234,163,,163-,0.8398,519828.0,0.999
235,164,,164-,0.9712,519828.0,0.899
236,159,,159-,0.9814,519828.0,0.853
237,162,,162-,0.951,519828.0,0.959
238,74,,74-,0.2428,519828.0,0.893
239,1292,p,1292-p,0.6576,519828.0,0.794
240,1307,,1307-,0.4148,519828.0,0.007
241,780,,780-,1.6188,519828.0,0.881
242,776,,776-,0.3642,519828.0,0.935
243,777,,777-,0.435,519828.0,0.967
244,782,,782-,0.9105,519828.0,0.713
245,781,,781-,0.9611,519828.0,0.23
246,1292,p,1292-p,0.6576,519828.0,0.068
247,795,,795-,0.3035,519828.0,0.551
248,793,,793-,0.2934,519828.0,0.594
249,781,,781-,0.9611,519828.0,0.561
250,781,,781-,0.9611,519828.0,0.67
251,791,/p૧,791-/p૧,0.56,519828.0,0.829
252,791,/p૧,791-/p૧,0.56,519828.0,0.701
253,769,/p૧,769-/p૧,0.4244,519828.0,0.953
254,767,,767-,1.3557,519828.0,0.595
255,772,,772-,0.2023,519828.0,0.494
256,769,/p૧,769-/p૧,0.4244,519828.0,0.793
257,770,,770-,0.263,519828.0,0.881
258,770,,770-,0.263,519828.0,0.019
259,806,p૧,806-p૧,0.9782,519828.0,0.968
260,763,,763-,0.9004,519828.0,0.445
261,761,p૧,761-p૧,0.8273,519828.0,0.856
262,,,,,,
263,597,,597-,0.7689,519828.0,0.011
264,597,,597-,0.7689,519828.0,1.0
265,596,,596-,0.5261,519828.0,0.97
266,598,p૧,598-p૧,0.7731,519828.0,0.857
267,581,,581-,2.2258,519828.0,0.949
268,582,,582-,0.6779,519828.0,0.984
269,583,/અ,583-/અ,0.006,519828.0,0.793
270,587,/બ/૨,587-/બ/૨,0.7375,519828.0,0.985
271,298,,298-,0.4805,519828.0,0.977
272,233,,233-,0.9612,519828.0,0.938
273,234,,234-,1.1432,519828.0,0.943
274,235,,235-,1.1129,519828.0,0.913
275,577,,577-,0.5868,519828.0,0.594
276,576,,576-,1.1432,519828.0,0.373
277,574,,574-,0.5261,519828.0,0.907
278,570,,570-,0.4957,519828.0,0.846
279,544,,544-,1.5277,519828.0,0.921
280,580,,580-,1.295,519828.0,0.905
281,535,,535-,0.5969,519828.0,0.866
282,536,,536-,0.3845,519828.0,0.668
283,543,,543-,0.5058,519828.0,0.899
284,537,,537-,0.4553,519828.0,0.955
285,538,,538-,0.8296,519828.0,0.862
286,539,,539-,1.6693,519828.0,0.97
287,540,/p૨,540-/p૨,0.8296,519828.0,0.973
288,541,,541-,0.2024,519828.0,0.483
289,522,,522-,1.0252,519828.0,0.981
290,523,,523-,2.1145,519828.0,0.926
291,522,,522-,1.0252,519828.0,0.93
292,520,,520-,1.295,519828.0,0.92
293,286,p,286-p,1.1331,519828.0,0.909
294,283,,283-,0.8195,519828.0,0.995
295,288,,288-,1.2444,519828.0,0.76
296,280,p,280-p,1.2141,519828.0,0.867
297,281,,281-,0.4856,519828.0,0.496
298,289,,289-,0.4452,519828.0,0.747
299,278,,278-,0.8296,519828.0,0.977
300,291,,291-,0.3946,519828.0,0.485
301,279,,279-,0.6273,519828.0,0.836
302,277,,277-,0.5969,519828.0,0.763
303,270,/૧,270-/૧,0.2226,519828.0,0.875
304,266,,266-,0.8094,519828.0,0.691
305,272,,272-,0.5261,519828.0,0.863
306,273,/p૧,273-/p૧,0.2502,519828.0,0.814
307,274,,274-,0.4249,519828.0,0.724
308,253,,253-,1.123,519828.0,0.821
309,381,,381-,0.3339,519828.0,0.445
310,386,,386-,0.263,519828.0,0.264
311,382,,382-,0.3237,519828.0,0.826
312,380,p,380-p,0.9307,519828.0,0.868
313,394,,394-,0.7183,519828.0,0.904
314,379,,379-,0.8802,519828.0,0.548
315,392,,392-,0.9207,519828.0,0.971
316,392,,392-,0.9207,519828.0,0.941
317,401,,401-,0.779,519828.0,0.983
318,390,,390-,0.9105,519828.0,0.892
319,448,,448-,0.5666,519828.0,0.771
320,525,/૧,525-/૧,0.4755,519828.0,0.853
321,527,/બ,527-/બ,0.6291,519828.0,0.985
322,527,/અ,527-/અ,0.6291,519828.0,0.924
323,524,/૨,524-/૨,0.9512,519828.0,0.925
324,521,,521-,0.8094,519828.0,0.477
325,518,,518-,0.8701,519828.0,0.904
326,519,,519-,0.8397,519828.0,0.863
327,517,,517-,1.1332,519828.0,0.82
328,516,,516-,1.5278,519828.0,0.935
329,516,,516-,1.5278,519828.0,0.875
330,507,,507-,1.2748,519828.0,0.007
331,515,,515-,1.0016,519828.0,0.893
332,593,,593-,1.4265,519828.0,0.938
333,593,,593-,1.4265,519828.0,0.896
334,592,/p૧,592-/p૧,0.7739,519828.0,0.954
335,591,,591-,0.9956,519828.0,0.948
336,592,/p૧,592-/p૧,0.7739,519828.0,0.694
337,590,/p૩,590-/p૩,0.1875,519828.0,0.927
338,589,,589-,0.7284,519828.0,0.782
339,532,/૧,532-/૧,1.2545,519828.0,0.95
340,439,,439-,1.2748,519828.0,0.959
341,404,,404-,0.7689,519828.0,0.525
342,403,,403-,0.2023,519828.0,0.519
343,389,,389-,0.607,519828.0,0.955
344,595,,595-,0.5666,519828.0,0.699
345,601,,601-,1.0724,519828.0,0.915
346,602,,602-,1.0117,519828.0,0.969
347,604,p૧,604-p૧,0.7841,519828.0,0.493
348,607,,607-,0.5665,519828.0,0.932
349,608,,608-,1.8311,519828.0,0.966
350,529,/બ,529-/બ,0.104,519828.0,0.939
351,531,,531-,0.8397,519828.0,0.418
352,532,/૨,532-/૨,1.2545,519828.0,1.0
353,532,/૨,532-/૨,1.2545,519828.0,1.0
354,605,p૧,605-p૧,0.4338,519828.0,0.939
355,609,,609-,1.2647,519828.0,0.978
356,665,,665-,2.3067,519828.0,0.612
357,685,,685-,1.9122,519828.0,0.962
358,699,p૧,699-p૧,0.9739,519828.0,0.891
359,612,,612-,1.2748,519828.0,0.958
360,617,,617-,0.9409,519828.0,0.986
361,677,,677-,1.295,519828.0,0.981
362,688,,688-,1.0421,519828.0,0.953
363,687,,687-,1.9526,519828.0,0.974
364,679,,679-,1.0422,519828.0,0.996
365,681,,681-,0.5058,519828.0,0.867
366,645,p૧,645-p૧,0.8544,519828.0,0.983
367,644,p૧,644-p૧,1.5522,519828.0,0.642
368,635,,635-,1.1241,519828.0,0.995
369,634,,634-,1.0522,519828.0,0.98
370,633,,633-,1.0623,519828.0,0.985
371,633,,633-,1.0623,519828.0,0.849
372,648,,648-,0.4553,519828.0,0.867
373,632,,632-,1.1938,519828.0,0.58
374,500,/૨,500-/૨,0.7723,519828.0,0.778
375,513,,513-,0.769,519828.0,1.0
376,514,,514-,0.3844,519828.0,0.822
377,511,,511-,0.3642,519828.0,0.604
378,657,,657-,1.2703,519828.0,0.99
379,498,,498-,0.4148,519828.0,0.893
380,495,,495-,0.6981,519828.0,1.0
381,509,,509-,0.7487,519828.0,0.65
382,614,,614-,0.5362,519828.0,0.744
383,964,,964-,2.2561,519828.0,1.0
384,1009,p,1009-p,1.1432,519828.0,0.807
385,1009,p,1009-p,1.1432,519828.0,0.872
386,964,,964-,2.2561,519828.0,0.941
387,964,,964-,2.2561,519828.0,0.946
388,964,,964-,2.2561,519828.0,0.904
389,964,,964-,2.2561,519828.0,1.0
390,950,,950-,1.214,519828.0,1.0
391,950,,950-,1.214,519828.0,1.0
392,963,,963-,0.4553,519828.0,0.882
393,963,,963-,0.4553,519828.0,1.0
394,960,,960-,0.9004,519828.0,0.997
395,960,,960-,0.9004,519828.0,1.0
396,953,,953-,0.9915,519828.0,0.994
397,953,,953-,0.9915,519828.0,0.946
398,960,,960-,0.9004,519828.0,1.0
399,960,,960-,0.9004,519828.0,1.0
400,960,,960-,0.9004,519828.0,1.0
401,960,,960-,0.9004,519828.0,0.982
402,954,,954-,0.4957,519828.0,0.685
403,954,,954-,0.4957,519828.0,1.0
404,954,,954-,0.4957,519828.0,0.981
405,954,,954-,0.4957,519828.0,1.0
406,945,,945-,1.1331,519828.0,0.984
407,945,,945-,1.1331,519828.0,0.959
408,945,,945-,1.1331,519828.0,1.0
409,946,,946-,5.1193,519828.0,1.0
410,946,,946-,5.1193,519828.0,1.0
411,946,,946-,5.1193,519828.0,1.0
412,951,,951-,0.8397,519828.0,0.901
413,951,,951-,0.8397,519828.0,1.0
414,951,,951-,0.8397,519828.0,0.932
415,951,,951-,0.8397,519828.0,0.937
416,952,,952-,0.6374,519828.0,0.665
417,952,,952-,0.6374,519828.0,0.82
418,946,,946-,5.1193,519828.0,1.0
419,949,,949-,1.2647,519828.0,0.832
420,971,,971-,1.1938,519828.0,1.0
421,971,,971-,1.1938,519828.0,1.0
422,971,,971-,1.1938,519828.0,1.0
423,948,,948-,0.607,519828.0,0.936
424,948,,948-,0.607,519828.0,0.998
425,948,,948-,0.607,519828.0,0.907
426,948,,948-,0.607,519828.0,0.868
427,949,,949-,1.2647,519828.0,0.888
428,946,,946-,5.1193,519828.0,1.0
429,969,,969-,0.516,519828.0,0.79
430,969,,969-,0.516,519828.0,1.0
431,969,,969-,0.516,519828.0,1.0
432,966,,966-,1.2647,519828.0,0.687
433,966,,966-,1.2647,519828.0,0.743
434,966,,966-,1.2647,519828.0,0.771
435,966,,966-,1.2647,519828.0,0.815
436,967,,967-,1.214,519828.0,0.993
437,967,,967-,1.214,519828.0,1.0
438,967,,967-,1.214,519828.0,1.0
439,972,,972-,0.4957,519828.0,1.0
440,972,,972-,0.4957,519828.0,1.0
441,972,,972-,0.4957,519828.0,1.0
442,971,,971-,1.1938,519828.0,1.0
443,973,,973-,0.5564,519828.0,0.023
444,887,,887-,2.1753,519828.0,0.882
445,887,,887-,2.1753,519828.0,0.801
446,887,,887-,2.1753,519828.0,1.0
447,887,,887-,2.1753,519828.0,1.0
448,887,,887-,2.1753,519828.0,1.0
449,941,,941-,0.607,519828.0,0.916
450,941,,941-,0.607,519828.0,0.965
451,941,,941-,0.607,519828.0,0.957
452,894,,894-,0.2732,519828.0,0.917
453,894,,894-,0.2732,519828.0,0.909
454,886,,886-,0.435,519828.0,0.887
455,893,,893-,0.5666,519828.0,0.773
456,893,,893-,0.5666,519828.0,0.983
457,887,,887-,2.1753,519828.0,0.996
458,887,,887-,2.1753,519828.0,1.0
459,893,,893-,0.5666,519828.0,0.909
460,893,,893-,0.5666,519828.0,0.808
461,895,,895-,0.6575,519828.0,0.908
462,895,,895-,0.6575,519828.0,0.862
463,895,,895-,0.6575,519828.0,0.937
464,939,,939-,1.0016,519828.0,0.998
465,939,,939-,1.0016,519828.0,0.894
466,858,,858-,0.6374,519828.0,0.861
467,858,,858-,0.6374,519828.0,0.952
468,887,,887-,2.1753,519828.0,1.0
469,857,,857-,0.4957,519828.0,0.761
470,857,,857-,0.4957,519828.0,0.954
471,855,,855-,2.1448,519828.0,0.983
472,855,,855-,2.1448,519828.0,0.989
473,856,,856-,1.0623,519828.0,1.0
474,1004,p,1004-p,0.8195,519828.0,1.0
475,1004,p,1004-p,0.8195,519828.0,0.966
476,1004,p,1004-p,0.8195,519828.0,0.911
477,1004,p,1004-p,0.8195,519828.0,0.983
478,1004,p,1004-p,0.8195,519828.0,0.968
479,1023,,1023-,0.7891,519828.0,0.83
480,1003,,1003-,1.0927,519828.0,0.999
481,1003,,1003-,1.0927,519828.0,0.944
482,1005,,1005-,0.7588,519828.0,1.0
483,1005,,1005-,0.7588,519828.0,1.0
484,1002,,1002-,0.7689,519828.0,1.0
485,1002,,1002-,0.7689,519828.0,0.971
486,1007,p,1007-p,0.6981,519828.0,0.776
487,1007,p,1007-p,0.6981,519828.0,0.653
488,1007,p,1007-p,0.6981,519828.0,0.94
489,1006,p,1006-p,3.4297,519828.0,1.0
490,1006,p,1006-p,3.4297,519828.0,1.0
491,1022,,1022-,0.9612,519828.0,1.0
492,1022,,1022-,0.9612,519828.0,1.0
493,1021,,1021-,1.8919,519828.0,1.0
494,1022,,1022-,0.9612,519828.0,0.919
495,1021,,1021-,1.8919,519828.0,1.0
496,1025,,1025-,0.9004,519828.0,1.0
497,1025,,1025-,0.9004,519828.0,1.0
498,1107,,1107-,1.2901,519828.0,0.479
499,1107,,1107-,1.2901,519828.0,0.561
500,1097,,1097-,0.5796,519828.0,0.694
501,1097,,1097-,0.5796,519828.0,1.0
502,1097,,1097-,0.5796,519828.0,1.0
503,1096,,1096-,0.872,519828.0,0.73
504,1095,/બ,1095-/બ,0.4047,519828.0,0.892
505,1095,/અ,1095-/અ,1.5378,519828.0,0.975
506,1095,/બ,1095-/બ,0.4047,519828.0,0.789
507,1095,/બ,1095-/બ,0.4047,519828.0,1.0
508,1095,/બ,1095-/બ,0.4047,519828.0,1.0
509,1094,,1094-,0.7284,519828.0,0.973
510,1094,,1094-,0.7284,519828.0,0.995
511,1093,,1093-,0.6576,519828.0,0.872
512,1094,,1094-,0.7284,519828.0,1.0
513,1092,,1092-,0.5463,519828.0,0.97
514,1092,,1092-,0.5463,519828.0,0.999
515,1092,,1092-,0.5463,519828.0,0.773
516,1091,,1091-,0.5969,519828.0,0.92
517,1090,/p૧,1090-/p૧,0.4667,519828.0,0.931
518,1077,/p૧,1077-/p૧,0.0059,519828.0,0.613
519,1202,p,1202-p,2.9138,519828.0,1.0
520,1252,,1252-,0.5366,519828.0,0.621
521,1253,,1253-,0.4371,519828.0,0.979
522,1253,,1253-,0.4371,519828.0,0.92
523,1253,,1253-,0.4371,519828.0,0.531
524,1256,,1256-,1.032,519828.0,0.975
525,1257,,1257-,0.5261,519828.0,0.792
526,1257,,1257-,0.5261,519828.0,0.921
527,1226,,1226-,2.5671,519828.0,0.93
528,1208,,1208-,0.5969,519828.0,0.568
529,1202,p,1202-p,2.9138,519828.0,1.0
530,1210,,1210-,0.4581,519828.0,0.989
531,1209,,1209-,1.1533,519828.0,0.791
532,1209,,1209-,1.1533,519828.0,0.997
533,1209,,1209-,1.1533,519828.0,0.944
534,1209,,1209-,1.1533,519828.0,0.985
535,1211,,1211-,0.195,519828.0,0.661
536,1212,,1212-,0.4498,519828.0,1.0
537,1212,,1212-,0.4498,519828.0,1.0
538,1212,,1212-,0.4498,519828.0,1.0
539,1212,,1212-,0.4498,519828.0,0.674
540,985,,985-,0.4148,519828.0,1.0
541,985,,985-,0.4148,519828.0,0.997
542,985,,985-,0.4148,519828.0,0.973
543,1045,,1045-,2.2157,519828.0,1.0
544,1052,,1052-,4.138,519828.0,1.0
545,1052,,1052-,4.138,519828.0,0.555
546,1052,,1052-,4.138,519828.0,0.968
547,1222,,1222-,1.386,519828.0,0.509
548,1224,,1224-,0.8094,519828.0,0.798
549,1230,,1230-,0.8637,519828.0,0.728
550,1238,,1238-,0.5463,519828.0,0.44
551,1237,,1237-,0.5261,519828.0,0.562
552,1220,,1220-,2.4382,519828.0,1.0
553,1220,,1220-,2.4382,519828.0,0.92
554,1220,,1220-,2.4382,519828.0,0.969
555,1220,,1220-,2.4382,519828.0,0.995
556,804,,804-,1.73,519828.0,0.947
557,804,,804-,1.73,519828.0,0.947
558,804,,804-,1.73,519828.0,0.938
559,801,,801-,0.9004,519828.0,0.926
560,800,,800-,0.6576,519828.0,0.776
561,801,,801-,0.9004,519828.0,0.97
562,802,,802-,0.4452,519828.0,0.897
563,802,,802-,0.4452,519828.0,0.939
564,803,,803-,0.4451,519828.0,0.937
565,805,,805-,0.9409,519828.0,0.923
566,805,,805-,0.9409,519828.0,0.914
567,805,,805-,0.9409,519828.0,0.916
568,797,p૧,797-p૧,0.1851,519828.0,0.922
569,762,p૧,762-p૧,1.7938,519828.0,0.983
570,815,p૧/p૧,815-p૧/p૧,1.5856,519828.0,0.969
571,757,p૧,757-p૧,1.4949,519828.0,0.939
572,757,p૧,757-p૧,1.4949,519828.0,0.984
573,816,,816-,1.2647,519828.0,0.925
574,814,/૨,814-/૨,0.7134,519828.0,0.909
575,814,/૧,814-/૧,0.8345,519828.0,0.967
576,813,,813-,3.8749,519828.0,0.913
577,813,,813-,3.8749,519828.0,1.0
578,820,,820-,0.3339,519828.0,0.89
579,821,,821-,1.0724,519828.0,0.913
580,821,,821-,1.0724,519828.0,0.968
581,821,,821-,1.0724,519828.0,0.939
582,753,,753-,0.7416,519828.0,0.924
583,754,,754-,0.695,519828.0,0.582
584,756,p૧,756-p૧,1.0234,519828.0,0.93
585,827,,827-,1.2141,519828.0,0.999
586,827,,827-,1.2141,519828.0,0.933
587,698,p૧,698-p૧,0.5303,519828.0,0.985
588,698,p૧,698-p૧,0.5303,519828.0,1.0
589,698,p૧,698-p૧,0.5303,519828.0,1.0
590,698,p૧,698-p૧,0.5303,519828.0,1.0
591,697,p,697-p,2.1755,519828.0,0.997
592,697,p,697-p,2.1755,519828.0,0.919
593,704,,704-,0.4155,519828.0,0.299
594,642,p૧,642-p૧,0.9968,519828.0,0.694
595,705,,705-,1.0927,519828.0,0.847
596,697,p,697-p,2.1755,519828.0,0.846
597,640,,640-,0.4957,519828.0,0.6
598,640,,640-,0.4957,519828.0,0.807
599,639,,639-,0.6779,519828.0,0.553
600,639,,639-,0.6779,519828.0,1.0
601,638,,638-,0.3136,519828.0,0.591
602,638,,638-,0.3136,519828.0,0.634
603,638,,638-,0.3136,519828.0,0.631
604,638,,638-,0.3136,519828.0,0.51
605,636,p૧,636-p૧,0.4345,519828.0,1.0
606,637,,637-,1.1432,519828.0,0.94
