farm_id,crop_type,yield_shipped,yield_anchor_corrected
197,Bajra,3.473,2.290593220338983
198,Groundnut,2.064,2.064
199,Cotton,0.325,0.325
200,Cotton,0.48,0.48
201,Groundnut,2.346,2.346
202,Rice,1.673,1.673
203,Rice,1.556,1.556
204,Groundnut,1.794,1.794
205,Cotton,0.514,0.514
206,Cotton,0.39,0.39
207,Cotton,0.305,0.305
208,Groundnut,2.349,2.349
209,Cotton,0.371,0.371
210,Cotton,0.307,0.307
211,Cotton,0.431,0.431
212,Rice,1.647,1.647
213,Cotton,0.505,0.505
214,Groundnut,2.182,2.182
215,Groundnut,1.947,1.947
216,Cotton,0.565,0.565
217,Cotton,0.32,0.32
218,Cotton,0.605,0.605
219,Cotton,0.555,0.555
220,Rice,1.555,1.555
221,Rice,1.399,1.399
222,Rice,1.375,1.375
223,Rice,1.405,1.405
224,Rice,1.613,1.613
225,Rice,1.508,1.508
226,Rice,1.609,1.609
227,Rice,1.733,1.733
228,Maize,2.626,2.626
229,Groundnut,1.957,1.957
230,Cotton,0.587,0.587
231,Groundnut,2.398,2.398
232,Cotton,0.313,0.313
233,Rice,1.838,1.838
234,Groundnut,2.182,2.182
235,Cotton,0.605,0.605
236,Groundnut,2.082,2.082
237,Cotton,0.357,0.357
238,Cotton,0.275,0.275
239,Groundnut,1.869,1.869
240,Cotton,0.397,0.397
241,Groundnut,2.119,2.119
242,Bajra,3.039,2.0043515106853356
243,Maize,2.059,2.059
244,Cotton,0.276,0.276
245,Rice,1.559,1.559
246,Cotton,0.42,0.42
247,Cotton,0.337,0.337
248,Cotton,0.563,0.563
249,Groundnut,2.104,2.104
250,Cotton,0.303,0.303
251,Groundnut,1.923,1.923
252,Groundnut,1.921,1.921
253,Cotton,0.442,0.442
254,Groundnut,1.809,1.809
255,Bajra,2.988,1.9707148120854827
256,Cotton,0.338,0.338
257,Cotton,0.303,0.303
258,Groundnut,2.048,2.048
259,Rice,1.519,1.519
260,Groundnut,1.789,1.789
261,Groundnut,1.934,1.934
262,Groundnut,1.996,1.996
263,Maize,2.3,2.3
264,Cotton,0.25,0.25
265,Cotton,0.302,0.302
266,Groundnut,2.194,2.194
267,Cotton,0.303,0.303
268,Cotton,0.59,0.59
269,Cotton,0.323,0.323
270,Maize,2.03,2.03
271,Groundnut,1.689,1.689
272,Groundnut,2.041,2.041
273,Rice,1.673,1.673
274,Maize,2.698,2.698
275,Cotton,0.343,0.343
276,Bajra,2.848,1.8783787767133382
277,Groundnut,2.13,2.13
278,Cotton,0.273,0.273
279,Groundnut,2.124,2.124
280,Groundnut,2.312,2.312
281,Groundnut,2.008,2.008
282,Groundnut,1.915,1.915
283,Groundnut,2.247,2.247
284,Groundnut,2.332,2.332
285,Groundnut,2.19,2.19
286,Cotton,0.289,0.289
287,Cotton,0.605,0.605
288,Cotton,0.392,0.392
289,Cotton,0.404,0.404
290,Cotton,0.487,0.487
291,Cotton,0.316,0.316
292,Cotton,0.43,0.43
293,Groundnut,2.737,2.737
294,Cotton,0.51,0.51
295,Groundnut,2.39,2.39
296,Cotton,0.351,0.351
297,Groundnut,2.355,2.355
298,Rice,1.415,1.415
299,Cotton,0.368,0.368
300,Cotton,0.528,0.528
301,Rice,1.438,1.438
302,Bajra,3.354,2.2121075902726606
303,Cotton,0.417,0.417
304,Cotton,0.299,0.299
305,Rice,1.516,1.516
306,Cotton,0.345,0.345
307,Groundnut,2.245,2.245
308,Groundnut,1.537,1.537
309,Groundnut,1.851,1.851
310,Rice,1.442,1.442
311,Cotton,0.44,0.44
312,Bajra,2.659,1.7537251289609432
313,Cotton,0.349,0.349
314,Cotton,0.546,0.546
315,Groundnut,2.027,2.027
316,Cotton,0.432,0.432
317,Groundnut,1.981,1.981
318,Maize,2.436,2.436
319,Cotton,0.328,0.328
320,Cotton,0.506,0.506
321,Cotton,0.347,0.347
322,Cotton,0.302,0.302
323,Bajra,3.023,1.993798820928519
324,Maize,2.488,2.488
325,Cotton,0.295,0.295
326,Maize,2.064,2.064
327,Groundnut,1.562,1.562
328,Rice,1.414,1.414
329,Bajra,2.698,1.7794473102431836
330,Groundnut,1.638,1.638
331,Groundnut,1.671,1.671
332,Bajra,3.239,2.1362601326455417
333,Bajra,2.963,1.954226234340457
334,Cotton,0.23,0.23
335,Rice,1.616,1.616
336,Groundnut,1.897,1.897
337,Groundnut,1.691,1.691
338,Groundnut,1.843,1.843
339,Groundnut,1.63,1.63
340,Rice,1.703,1.703
341,Groundnut,2.28,2.28
342,Cotton,0.328,0.328
343,Groundnut,2.276,2.276
344,Cotton,0.444,0.444
345,Bajra,2.919,1.9252063375092117
346,Bajra,2.819,1.8592520265291084
347,Groundnut,1.715,1.715
348,Bajra,2.776,1.8308916728076639
349,Rice,1.542,1.542
350,Groundnut,1.93,1.93
351,Cotton,0.268,0.268
352,Groundnut,1.588,1.588
353,Groundnut,1.763,1.763
354,Bajra,2.732,1.8018717759764187
355,Groundnut,1.961,1.961
356,Groundnut,1.863,1.863
357,Groundnut,1.683,1.683
358,Groundnut,1.871,1.871
359,Groundnut,1.961,1.961
360,Cotton,0.311,0.311
361,Groundnut,1.616,1.616
362,Groundnut,1.403,1.403
363,Cotton,0.33,0.33
364,Groundnut,2.043,2.043
365,Bajra,2.971,1.9595025792188652
366,Groundnut,2.013,2.013
367,Bajra,2.628,1.7332792925571114
368,Groundnut,2.033,2.033
369,Cotton,0.359,0.359
370,Cotton,0.366,0.366
371,Cotton,0.3,0.3
372,Cotton,0.27,0.27
373,Groundnut,1.608,1.608
374,Groundnut,2.111,2.111
375,Rice,1.466,1.466
376,Cotton,0.31,0.31
377,Rice,1.47,1.47
378,Cotton,0.298,0.298
379,Cotton,0.294,0.294
380,Cotton,0.457,0.457
381,Groundnut,1.645,1.645
382,Cotton,0.24,0.24
383,Cotton,0.363,0.363
384,Cotton,0.363,0.363
385,Cotton,0.38,0.38
386,Rice,2.116,2.116
387,Rice,1.758,1.758
388,Cotton,0.353,0.353
389,Cotton,0.353,0.353
390,Cotton,0.405,0.405
391,Cotton,0.353,0.353
392,Cotton,0.353,0.353
393,Cotton,0.353,0.353
394,Cotton,0.353,0.353
395,Cotton,0.353,0.353
396,Cotton,0.353,0.353
397,Cotton,0.353,0.353
398,Cotton,0.353,0.353
399,Cotton,0.353,0.353
400,Cotton,0.353,0.353
401,Cotton,0.353,0.353
402,Cotton,0.353,0.353
403,Cotton,0.353,0.353
404,Cotton,0.353,0.353
405,Cotton,0.353,0.353
406,Cotton,0.353,0.353
407,Cotton,0.311,0.311
408,Cotton,0.263,0.263
409,Cotton,0.405,0.405
410,Cotton,0.605,0.605
411,Cotton,0.353,0.353
412,Cotton,0.353,0.353
413,Cotton,0.353,0.353
414,Cotton,0.353,0.353
415,Maize,2.023,2.023
416,Cotton,0.353,0.353
417,Cotton,0.353,0.353
418,Rice,1.806,1.806
419,Cotton,0.315,0.315
420,Maize,1.348,1.348
421,Groundnut,1.915,1.915
422,Bajra,2.446,1.6132424465733237
423,Maize,1.897,1.897
424,Groundnut,1.799,1.799
425,Cotton,0.319,0.319
426,Groundnut,1.874,1.874
427,Groundnut,1.778,1.778
428,Groundnut,1.549,1.549
429,Cotton,0.344,0.344
430,Cotton,0.244,0.244
431,Cotton,0.266,0.266
432,Bajra,2.445,1.6125829034635224
433,Groundnut,1.734,1.734
434,Cotton,0.338,0.338
435,Bajra,2.894,1.9087177597641858
436,Cotton,0.247,0.247
437,Cotton,0.305,0.305
438,Cotton,0.279,0.279
439,Maize,2.134,2.134
440,Cotton,0.272,0.272
441,Groundnut,1.655,1.655
442,Groundnut,1.589,1.589
443,Bajra,2.355,1.5532240235814296
444,Rice,1.758,1.758
445,Rice,2.111,2.111
446,Cotton,0.531,0.531
447,Cotton,0.291,0.291
448,Cotton,0.291,0.291
449,Cotton,0.291,0.291
450,Cotton,0.291,0.291
451,Cotton,0.291,0.291
452,Rice,1.758,1.758
453,Cotton,0.383,0.383
454,Bajra,2.306,1.5209064112011792
455,Bajra,1.611,1.062523949889462
456,Cotton,0.33,0.33
457,Cotton,0.257,0.257
458,Cotton,0.235,0.235
459,Rice,1.686,1.686
460,Groundnut,1.695,1.695
461,Rice,2.129,2.129
462,Maize,2.409,2.409
463,Rice,1.758,1.758
464,Cotton,0.31,0.31
465,Cotton,0.291,0.291
466,Bajra,2.739,1.8064885777450257
467,Groundnut,1.315,1.315
468,Rice,1.965,1.965
469,Cotton,0.305,0.305
470,Cotton,0.294,0.294
471,Cotton,0.377,0.377
472,Cotton,0.306,0.306
473,Bajra,2.359,1.5558621960206338
474,Cotton,0.287,0.287
475,Rice,1.244,1.244
476,Groundnut,1.499,1.499
477,Bajra,1.71,1.1278187177597643
478,Bajra,2.084,1.37448784082535
479,Bajra,2.21,1.45759027266028
480,Groundnut,1.534,1.534
481,Bajra,2.398,1.5815843773028742
482,Cotton,0.28,0.28
483,Maize,2.095,2.095
484,Cotton,0.273,0.273
485,Cotton,0.272,0.272
486,Rice,2.143,2.143
487,Bajra,1.812,1.1950921149594695
488,Groundnut,1.294,1.294
489,Bajra,2.238,1.476057479734709
490,Groundnut,1.63,1.63
491,Bajra,2.59,1.708216654384672
492,Cotton,0.284,0.284
493,Cotton,0.314,0.314
494,Cotton,0.28,0.28
495,Bajra,2.474,1.6317096536477527
496,Cotton,0.248,0.248
497,Cotton,0.281,0.281
498,Bajra,2.607,1.7194288872512897
499,Bajra,1.805,1.190475313190862
500,Groundnut,2.038,2.038
501,Cotton,0.26,0.26
502,Cotton,0.267,0.267
503,Bajra,2.916,1.9232277081798084
504,Cotton,0.282,0.282
505,Bajra,2.765,1.8236366985998527
506,Bajra,2.284,1.5063964627855564
507,Bajra,2.606,1.7187693441414886
508,Bajra,2.336,1.54069270449521
509,Bajra,2.576,1.6989830508474577
510,Cotton,0.247,0.247
511,Maize,2.499,2.499
512,Cotton,0.272,0.272
513,Bajra,2.548,1.6805158437730288
514,Groundnut,2.215,2.215
515,Cotton,0.277,0.277
516,Bajra,2.801,1.84738025055269
517,Cotton,0.461,0.461
518,Bajra,3.174,2.0933898305084746
519,Cotton,0.326,0.326
520,Cotton,0.282,0.282
521,Cotton,0.307,0.307
522,Cotton,0.314,0.314
523,Cotton,0.28,0.28
524,Groundnut,1.961,1.961
525,Bajra,3.528,2.32686809137804
526,Groundnut,1.84,1.84
527,Groundnut,1.712,1.712
528,Groundnut,1.381,1.381
529,Cotton,0.252,0.252
530,Groundnut,1.921,1.921
531,Groundnut,2.071,2.071
532,Maize,1.825,1.825
533,Cotton,0.361,0.361
534,Bajra,2.144,1.414060427413412
535,Cotton,0.234,0.234
536,Groundnut,1.88,1.88
537,Groundnut,1.747,1.747
538,Bajra,2.463,1.624454679439941
539,Cotton,0.32,0.32
540,Cotton,0.349,0.349
541,Cotton,0.263,0.263
542,Cotton,0.253,0.253
543,Cotton,0.271,0.271
544,Groundnut,2.004,2.004
545,Maize,1.828,1.828
546,Cotton,0.332,0.332
547,Groundnut,1.486,1.486
548,Groundnut,1.557,1.557
549,Cotton,0.254,0.254
550,Rice,1.575,1.575
551,Bajra,3.062,2.019521002210759
552,Bajra,1.979,1.3052358142962417
553,Bajra,2.749,1.8130840088430362
554,Bajra,2.713,1.7893404568901992
555,Groundnut,1.383,1.383
556,Cotton,0.383,0.383
557,Cotton,0.413,0.413
558,Bajra,2.946,1.9430140014738395
559,Maize,3.006,3.006
560,Bajra,2.845,1.8764001473839353
561,Cotton,0.482,0.482
562,Cotton,0.532,0.532
563,Cotton,0.46,0.46
564,Cotton,0.26,0.26
565,Cotton,0.319,0.319
566,Cotton,0.308,0.308
567,Cotton,0.268,0.268
568,Cotton,0.42,0.42
569,Groundnut,2.16,2.16
570,Cotton,0.4,0.4
571,Groundnut,1.759,1.759
572,Cotton,0.432,0.432
573,Groundnut,2.089,2.089
574,Cotton,0.262,0.262
575,Groundnut,1.939,1.939
576,Groundnut,1.863,1.863
577,Cotton,0.366,0.366
578,Cotton,0.506,0.506
579,Cotton,0.522,0.522
580,Cotton,0.319,0.319
581,Cotton,0.322,0.322
582,Cotton,0.39,0.39
583,Groundnut,1.671,1.671
584,Maize,3.006,3.006
585,Cotton,0.544,0.544
586,Bajra,2.722,1.7952763448784084
587,Cotton,0.356,0.356
588,Bajra,2.444,1.6119233603537215
589,Bajra,1.731,1.141669123065586
590,Cotton,0.251,0.251
591,Cotton,0.231,0.231
592,Cotton,0.276,0.276
593,Groundnut,1.596,1.596
594,Cotton,0.409,0.409
595,Cotton,0.52,0.52
596,Groundnut,1.843,1.843
597,Cotton,0.338,0.338
598,Cotton,0.287,0.287
599,Cotton,0.326,0.326
600,Cotton,0.27,0.27
601,Bajra,2.984,1.9680766396462785
602,Cotton,0.359,0.359
603,Cotton,0.274,0.274
604,Cotton,0.284,0.284
605,Cotton,0.343,0.343
606,Bajra,2.284,1.5063964627855564
607,Groundnut,1.692,1.692
608,Cotton,0.443,0.443
609,Groundnut,2.078,2.078
610,Cotton,0.289,0.289
611,Maize,1.772,1.772
612,Cotton,0.321,0.321
613,Cotton,0.306,0.306
614,Cotton,0.372,0.372
615,Cotton,0.447,0.447
616,Groundnut,1.641,1.641
617,Cotton,0.263,0.263
618,Groundnut,1.818,1.818
619,Cotton,0.301,0.301
620,Bajra,2.312,1.5248636698599851
621,Cotton,0.291,0.291
622,Groundnut,1.842,1.842
623,Bajra,2.558,1.687111274871039
624,Groundnut,1.706,1.706
625,Cotton,0.329,0.329
626,Cotton,0.293,0.293
627,Groundnut,1.713,1.713
628,Cotton,0.309,0.309
629,Maize,1.851,1.851
630,Cotton,0.283,0.283
631,Cotton,0.289,0.289
632,Bajra,2.572,1.6963448784082535
633,Bajra,2.775,1.830232129697863
634,Bajra,2.829,1.865847457627119
635,Bajra,2.124,1.4008695652173915
636,Cotton,0.265,0.265
637,Bajra,1.915,1.2630250552689757
638,Bajra,2.078,1.3705305821665437
639,Groundnut,1.576,1.576
640,Bajra,2.807,1.8513375092114959
641,Groundnut,2.016,2.016
642,Groundnut,2.237,2.237
643,Rice,1.518,1.518
644,Bajra,3.422,2.2569565217391307
645,Cotton,0.479,0.479
646,Bajra,3.013,1.9872033898305084
647,Cotton,0.284,0.284
648,Cotton,0.345,0.345
649,Cotton,0.343,0.343
650,Groundnut,1.764,1.764
651,Bajra,2.401,1.583563006632277
652,Cotton,0.338,0.338
653,Cotton,0.325,0.325
654,Bajra,3.021,1.9924797347089167
655,Groundnut,1.607,1.607
656,Bajra,3.053,2.0135851142225496
657,Bajra,2.074,1.3678924097273397
658,Bajra,2.675,1.7642778187177597
659,Cotton,0.29,0.29
660,Maize,1.672,1.672
661,Cotton,0.375,0.375
662,Cotton,0.502,0.502
663,Cotton,0.263,0.263
664,Groundnut,1.678,1.678
665,Cotton,0.28,0.28
666,Cotton,0.605,0.605
667,Cotton,0.306,0.306
668,Groundnut,1.757,1.757
669,Bajra,3.125,2.061072218128224
670,Bajra,2.614,1.7240456890198967
671,Cotton,0.271,0.271
672,Groundnut,1.529,1.529
673,Cotton,0.248,0.248
674,Bajra,3.528,2.32686809137804
675,Groundnut,1.828,1.828
676,Groundnut,1.36,1.36
677,Groundnut,1.977,1.977
678,Maize,2.38,2.38
679,Cotton,0.434,0.434
680,Cotton,0.423,0.423
681,Cotton,0.328,0.328
682,Cotton,0.401,0.401
683,Cotton,0.308,0.308
684,Cotton,0.31,0.31
685,Groundnut,1.652,1.652
686,Groundnut,1.841,1.841
687,Cotton,0.264,0.264
688,Groundnut,1.648,1.648
689,Rice,1.327,1.327
690,Rice,1.542,1.542
691,Rice,1.3,1.3
692,Bajra,2.863,1.8882719233603538
693,Cotton,0.294,0.294
694,Cotton,0.471,0.471
695,Groundnut,2.272,2.272
696,Cotton,0.356,0.356
697,Cotton,0.367,0.367
698,Cotton,0.403,0.403
699,Groundnut,2.261,2.261
700,Bajra,2.503,1.6508364038319825
701,Bajra,2.898,1.91135593220339
702,Groundnut,1.702,1.702
703,Cotton,0.379,0.379
704,Bajra,2.538,1.6739204126750182
705,Cotton,0.418,0.418
706,Bajra,2.797,1.8447420781134858
707,Cotton,0.312,0.312
708,Groundnut,1.961,1.961
709,Groundnut,1.74,1.74
710,Cotton,0.551,0.551
711,Cotton,0.315,0.315
712,Cotton,0.277,0.277
713,Cotton,0.41,0.41
714,Rice,1.243,1.243
715,Cotton,0.528,0.528
716,Groundnut,1.754,1.754
717,Cotton,0.308,0.308
718,Bajra,3.206,2.1144952100221075
719,Cotton,0.516,0.516
720,Maize,2.972,2.972
721,Cotton,0.52,0.52
722,Cotton,0.591,0.591
723,Cotton,0.605,0.605
724,Cotton,0.479,0.479
725,Groundnut,2.062,2.062
726,Cotton,0.353,0.353
727,Groundnut,1.961,1.961
728,Bajra,2.626,1.7319602063375092
729,Cotton,0.394,0.394
730,Cotton,0.523,0.523
731,Groundnut,2.03,2.03
732,Cotton,0.379,0.379
733,Cotton,0.56,0.56
734,Maize,2.523,2.523
735,Cotton,0.461,0.461
736,Cotton,0.371,0.371
737,Cotton,0.385,0.385
738,Cotton,0.259,0.259
739,Cotton,0.277,0.277
740,Cotton,0.263,0.263
741,Rice,1.978,1.978
742,Cotton,0.605,0.605
743,Groundnut,1.795,1.795
744,Bajra,2.073,1.3672328666175386
745,Rice,1.758,1.758
746,Rice,1.758,1.758
747,Rice,2.181,2.181
748,Groundnut,1.681,1.681
749,Groundnut,1.589,1.589
750,Groundnut,1.819,1.819
751,Groundnut,1.965,1.965
752,Cotton,0.317,0.317
753,Cotton,0.282,0.282
754,Cotton,0.39,0.39
755,Cotton,0.503,0.503
756,Cotton,0.396,0.396
757,Groundnut,1.743,1.743
758,Cotton,0.383,0.383
759,Groundnut,1.913,1.913
760,Bajra,3.134,2.0670081061164334
761,Groundnut,2.2,2.2
762,Bajra,2.503,1.6508364038319825
763,Maize,2.03,2.03
764,Groundnut,1.773,1.773
765,Groundnut,1.754,1.754
766,Cotton,0.277,0.277
767,Groundnut,1.706,1.706
768,Bajra,2.722,1.7952763448784084
769,Cotton,0.274,0.274
770,Cotton,0.265,0.265
771,Cotton,0.269,0.269
772,Cotton,0.308,0.308
773,Cotton,0.289,0.289
774,Maize,1.905,1.905
775,Groundnut,1.572,1.572
776,Bajra,2.822,1.8612306558585114
777,Bajra,2.682,1.768894620486367
778,Bajra,2.508,1.6541341193809875
779,Bajra,2.349,1.5492667649226235
780,Bajra,2.944,1.9416949152542373
781,Groundnut,1.734,1.734
782,Groundnut,2.107,2.107
783,Cotton,0.253,0.253
784,Maize,1.869,1.869
785,Groundnut,1.706,1.706
786,Groundnut,1.688,1.688
787,Bajra,2.276,1.501120117907148
788,Bajra,2.127,1.4028481945467943
789,Cotton,0.269,0.269
790,Groundnut,1.912,1.912
791,Groundnut,1.821,1.821
792,Bajra,3.528,2.32686809137804
793,Bajra,2.896,1.9100368459837878
794,Bajra,2.956,1.9496094325718496
795,Maize,2.538,2.538
796,Cotton,0.269,0.269
797,Cotton,0.372,0.372
798,Cotton,0.382,0.382
799,Cotton,0.228,0.228
800,Maize,1.863,1.863
801,Groundnut,1.464,1.464
802,Maize,1.87,1.87
803,Bajra,2.703,1.7827450257921886
804,Bajra,2.239,1.47671702284451
805,Bajra,2.349,1.5492667649226235
806,Bajra,1.84,1.2135593220338985
807,Groundnut,1.961,1.961
808,Groundnut,2.102,2.102
809,Maize,1.76,1.76
810,Cotton,0.31,0.31
811,Bajra,2.402,1.5842225497420783
812,Cotton,0.302,0.302
813,Cotton,0.345,0.345
814,Cotton,0.449,0.449
815,Bajra,1.9,1.2531319086219601
816,Bajra,2.08,1.371849668386146
817,Cotton,0.223,0.223
818,Groundnut,1.626,1.626
819,Bajra,1.9,1.2531319086219601
820,Groundnut,1.759,1.759
821,Bajra,2.418,1.5947752394988948
822,Bajra,1.715,1.1311164333087693
823,Groundnut,1.433,1.433
824,Cotton,0.31,0.31
825,Cotton,0.31,0.31
826,Cotton,0.31,0.31
827,Cotton,0.31,0.31
828,Cotton,0.31,0.31
829,Groundnut,2.031,2.031
830,Cotton,0.284,0.284
831,Bajra,2.561,1.6890899042004421
832,Cotton,0.269,0.269
833,Cotton,0.271,0.271
834,Cotton,0.293,0.293
835,Maize,1.852,1.852
836,Groundnut,2.035,2.035
837,Bajra,2.433,1.6046683861459101
838,Bajra,2.477,1.6336882829771555
839,Cotton,0.277,0.277
840,Cotton,0.293,0.293
841,Cotton,0.284,0.284
842,Cotton,0.289,0.289
843,Bajra,1.9,1.2531319086219601
844,Groundnut,1.825,1.825
845,Cotton,0.422,0.422
846,Bajra,2.245,1.4806742815033163
847,Cotton,0.333,0.333
848,Rice,1.372,1.372
849,Groundnut,1.851,1.851
850,Cotton,0.364,0.364
851,Bajra,2.743,1.8091267501842299
852,Rice,1.279,1.279
853,Rice,1.377,1.377
854,Groundnut,1.795,1.795
855,Bajra,2.609,1.7207479734708917
856,Bajra,2.031,1.3395320560058954
857,Cotton,0.307,0.307
858,Bajra,2.516,1.6594104642593959
859,Bajra,2.812,1.8546352247605011
860,Bajra,1.997,1.3171075902726603
861,Cotton,0.31,0.31
862,Cotton,0.363,0.363
863,Cotton,0.324,0.324
864,Bajra,2.258,1.4892483419307296
865,Bajra,1.872,1.2346647015475314
866,Cotton,0.443,0.443
867,Cotton,0.266,0.266
868,Bajra,2.818,1.8585924834193073
869,Bajra,2.302,1.518268238761975
870,Cotton,0.367,0.367
871,Maize,1.956,1.956
872,Groundnut,2.191,2.191
873,Cotton,0.308,0.308
874,Maize,2.267,2.267
875,Cotton,0.363,0.363
876,Groundnut,1.738,1.738
877,Groundnut,1.732,1.732
878,Cotton,0.305,0.305
879,Bajra,2.197,1.4490162122328667
880,Bajra,2.051,1.352722918201916
881,Groundnut,1.675,1.675
882,Groundnut,1.6,1.6
883,Groundnut,1.889,1.889
