farm_id,crop_type,yield_shipped,yield_kharif
118,Rice,1.659,1.786615384615385
119,Cotton,0.605,0.605
120,Cotton,0.475,0.475
121,Cotton,0.478,0.478
122,Groundnut,1.671,1.3293556085918856
123,Cotton,0.237,0.237
124,Groundnut,1.894,1.5067621320604616
125,Groundnut,2.29,1.8217979315831347
126,Groundnut,1.946,1.5481304693715197
127,Groundnut,1.813,1.4423229912490056
128,Groundnut,2.11,1.6785998408910103
129,Groundnut,1.706,1.3571996817820209
130,Cotton,0.378,0.378
131,Groundnut,1.919,1.5266507557677012
132,Bajra,3.024,2.128165070007369
133,Groundnut,1.965,1.5632458233890216
134,Groundnut,2.092,1.664280031821798
135,Cotton,0.353,0.353
136,Cotton,0.493,0.493
137,Cotton,0.352,0.352
138,Cotton,0.456,0.456
139,Groundnut,2.222,1.7677008750994432
140,Cotton,0.244,0.244
141,Maize,1.828,1.8264186851211075
142,Groundnut,2.035,1.6189339697692922
143,Cotton,0.338,0.338
144,Groundnut,1.883,1.4980111376292762
145,Groundnut,2.185,1.738265712012729
146,Cotton,0.284,0.284
147,Cotton,0.521,0.521
148,Cotton,0.257,0.257
149,Maize,2.239,2.2370631487889274
150,Cotton,0.369,0.369
151,Cotton,0.494,0.494
152,Groundnut,2.59,2.060461416070008
153,Cotton,0.287,0.287
154,Cotton,0.528,0.528
155,Bajra,3.411,2.400519528371407
156,Groundnut,2.475,1.9689737470167068
157,Groundnut,1.691,1.3452665075576773
158,Maize,2.738,2.7356314878892736
159,Cotton,0.5,0.5
160,Cotton,0.314,0.314
161,Cotton,0.287,0.287
162,Cotton,0.351,0.351
163,Cotton,0.534,0.534
164,Cotton,0.436,0.436
165,Groundnut,2.298,1.8281622911694513
166,Groundnut,2.302,1.8313444709626097
167,Groundnut,2.01,1.5990453460620524
168,Groundnut,2.143,1.7048528241845664
169,Maize,3.006,3.0033996539792387
170,Groundnut,1.755,1.39618138424821
171,Cotton,0.242,0.242
172,Groundnut,1.961,1.5600636435958635
173,Cotton,0.505,0.505
174,Cotton,0.48,0.48
175,Cotton,0.256,0.256
176,Cotton,0.239,0.239
177,Cotton,0.265,0.265
178,Cotton,0.369,0.369
179,Cotton,0.299,0.299
180,Bajra,2.969,2.0894583640383195
181,Rice,1.234,1.328923076923077
182,Rice,1.363,1.467846153846154
183,Rice,1.699,1.829692307692308
184,Rice,1.746,1.8803076923076927
185,Cotton,0.365,0.365
186,Cotton,0.292,0.292
187,Cotton,0.356,0.356
188,Cotton,0.261,0.261
189,Cotton,0.345,0.345
190,Groundnut,2.232,1.7756563245823394
191,Cotton,0.41,0.41
192,Bajra,3.211,2.2597678703021367
193,Groundnut,2.549,2.0278440731901353
194,Rice,1.801,1.9395384615384619
195,Groundnut,1.961,1.5600636435958635
196,Groundnut,1.791,1.424821002386635
197,Bajra,3.473,2.444152542372881
198,Groundnut,2.064,1.6420047732696899
199,Cotton,0.325,0.325
200,Cotton,0.48,0.48
201,Groundnut,2.346,1.8663484486873512
202,Rice,1.673,1.801692307692308
203,Rice,1.556,1.675692307692308
204,Groundnut,1.794,1.4272076372315037
205,Cotton,0.514,0.514
206,Cotton,0.39,0.39
207,Cotton,0.305,0.305
208,Groundnut,2.349,1.8687350835322198
209,Cotton,0.371,0.371
210,Cotton,0.307,0.307
211,Cotton,0.431,0.431
212,Rice,1.647,1.773692307692308
213,Cotton,0.505,0.505
214,Groundnut,2.182,1.73587907716786
215,Groundnut,1.947,1.5489260143198094
216,Cotton,0.565,0.565
217,Cotton,0.32,0.32
218,Cotton,0.605,0.605
219,Cotton,0.555,0.555
220,Rice,1.555,1.6746153846153848
221,Rice,1.399,1.506615384615385
222,Rice,1.375,1.480769230769231
223,Rice,1.405,1.5130769230769234
224,Rice,1.613,1.7370769230769234
225,Rice,1.508,1.6240000000000003
226,Rice,1.609,1.732769230769231
227,Rice,1.733,1.8663076923076927
228,Maize,2.626,2.623728373702422
229,Groundnut,1.957,1.556881463802705
230,Cotton,0.587,0.587
231,Groundnut,2.398,1.9077167859984092
232,Cotton,0.313,0.313
233,Rice,1.838,1.9793846153846157
234,Groundnut,2.182,1.73587907716786
235,Cotton,0.605,0.605
236,Groundnut,2.082,1.6563245823389021
237,Cotton,0.357,0.357
238,Cotton,0.275,0.275
239,Groundnut,1.869,1.486873508353222
240,Cotton,0.397,0.397
241,Groundnut,2.119,1.6857597454256168
242,Bajra,3.039,2.1387214443625644
243,Maize,2.059,2.0572188581314883
244,Cotton,0.276,0.276
245,Rice,1.559,1.6789230769230772
246,Cotton,0.42,0.42
247,Cotton,0.337,0.337
248,Cotton,0.563,0.563
249,Groundnut,2.104,1.6738265712012732
250,Cotton,0.303,0.303
251,Groundnut,1.923,1.5298329355608593
252,Groundnut,1.921,1.5282418456642801
253,Cotton,0.442,0.442
254,Groundnut,1.809,1.4391408114558473
255,Bajra,2.988,2.1028297715549003
256,Cotton,0.338,0.338
257,Cotton,0.303,0.303
258,Groundnut,2.048,1.6292760540970568
259,Rice,1.519,1.635846153846154
260,Groundnut,1.789,1.4232299124900558
261,Groundnut,1.934,1.5385839299920447
262,Groundnut,1.996,1.5879077167859985
263,Maize,2.3,2.2980103806228374
264,Cotton,0.25,0.25
265,Cotton,0.302,0.302
266,Groundnut,2.194,1.745425616547335
267,Cotton,0.303,0.303
268,Cotton,0.59,0.59
269,Cotton,0.323,0.323
270,Maize,2.03,2.028243944636678
271,Groundnut,1.689,1.343675417661098
272,Groundnut,2.041,1.6237072394590295
273,Rice,1.673,1.801692307692308
274,Maize,2.698,2.695666089965398
275,Cotton,0.343,0.343
276,Bajra,2.848,2.004303610906411
277,Groundnut,2.13,1.694510739856802
278,Cotton,0.273,0.273
279,Groundnut,2.124,1.6897374701670647
280,Groundnut,2.312,1.8392999204455052
281,Groundnut,2.008,1.5974542561654734
282,Groundnut,1.915,1.5234685759745428
283,Groundnut,2.247,1.7875894988066827
284,Groundnut,2.332,1.8552108194112968
285,Groundnut,2.19,1.7422434367541768
286,Cotton,0.289,0.289
287,Cotton,0.605,0.605
288,Cotton,0.392,0.392
289,Cotton,0.404,0.404
290,Cotton,0.487,0.487
291,Cotton,0.316,0.316
292,Cotton,0.43,0.43
293,Groundnut,2.737,2.1774065234685764
294,Cotton,0.51,0.51
295,Groundnut,2.39,1.9013524264120927
296,Cotton,0.351,0.351
297,Groundnut,2.355,1.8735083532219572
298,Rice,1.415,1.523846153846154
299,Cotton,0.368,0.368
300,Cotton,0.528,0.528
301,Rice,1.438,1.5486153846153847
302,Bajra,3.354,2.3604053058216654
303,Cotton,0.417,0.417
304,Cotton,0.299,0.299
305,Rice,1.516,1.6326153846153848
306,Cotton,0.345,0.345
307,Groundnut,2.245,1.7859984089101038
308,Groundnut,1.537,1.222752585521082
309,Groundnut,1.851,1.4725536992840096
310,Rice,1.442,1.552923076923077
311,Cotton,0.44,0.44
312,Bajra,2.659,1.8712932940309503
313,Cotton,0.349,0.349
314,Cotton,0.546,0.546
315,Groundnut,2.027,1.6125696101829756
316,Cotton,0.432,0.432
317,Groundnut,1.981,1.575974542561655
318,Maize,2.436,2.4338927335640137
319,Cotton,0.328,0.328
320,Cotton,0.506,0.506
321,Cotton,0.347,0.347
322,Cotton,0.302,0.302
323,Bajra,3.023,2.1274613117170227
324,Maize,2.488,2.485847750865052
325,Cotton,0.295,0.295
326,Maize,2.064,2.0622145328719723
327,Groundnut,1.562,1.2426412092283217
328,Rice,1.414,1.5227692307692309
329,Bajra,2.698,1.8987398673544582
330,Groundnut,1.638,1.3031026252983293
331,Groundnut,1.671,1.3293556085918856
332,Bajra,3.239,2.2794731024318344
333,Bajra,2.963,2.0852358142962415
334,Cotton,0.23,0.23
335,Rice,1.616,1.7403076923076928
336,Groundnut,1.897,1.5091487669053303
337,Groundnut,1.691,1.3452665075576773
338,Groundnut,1.843,1.466189339697693
339,Groundnut,1.63,1.2967382657120128
340,Rice,1.703,1.8340000000000003
341,Groundnut,2.28,1.8138424821002388
342,Cotton,0.328,0.328
343,Groundnut,2.276,1.8106603023070804
344,Cotton,0.444,0.444
345,Bajra,2.919,2.054270449521002
346,Bajra,2.819,1.9838946204863668
347,Groundnut,1.715,1.3643595863166271
348,Bajra,2.776,1.9536330140014735
349,Rice,1.542,1.6606153846153848
350,Groundnut,1.93,1.5354017501988864
351,Cotton,0.268,0.268
352,Groundnut,1.588,1.2633253778838507
353,Groundnut,1.763,1.4025457438345268
354,Bajra,2.732,1.9226676492262342
355,Groundnut,1.961,1.5600636435958635
356,Groundnut,1.863,1.4821002386634847
357,Groundnut,1.683,1.3389021479713605
358,Groundnut,1.871,1.4884645982498013
359,Groundnut,1.961,1.5600636435958635
360,Cotton,0.311,0.311
361,Groundnut,1.616,1.285600636435959
362,Groundnut,1.403,1.1161495624502786
363,Cotton,0.33,0.33
364,Groundnut,2.043,1.625298329355609
365,Bajra,2.971,2.0908658806190124
366,Groundnut,2.013,1.6014319809069213
367,Bajra,2.628,1.8494767870302136
368,Groundnut,2.033,1.617342879872713
369,Cotton,0.359,0.359
370,Cotton,0.366,0.366
371,Cotton,0.3,0.3
372,Cotton,0.27,0.27
373,Groundnut,1.608,1.2792362768496421
374,Groundnut,2.111,1.6793953858393003
375,Rice,1.466,1.578769230769231
376,Cotton,0.31,0.31
377,Rice,1.47,1.5830769230769233
378,Cotton,0.298,0.298
379,Cotton,0.294,0.294
380,Cotton,0.457,0.457
381,Groundnut,1.645,1.3086714399363566
382,Cotton,0.24,0.24
383,Cotton,0.363,0.363
384,Cotton,0.363,0.363
385,Cotton,0.38,0.38
386,Rice,2.116,2.2787692307692313
387,Rice,1.758,1.8932307692307695
388,Cotton,0.353,0.353
389,Cotton,0.353,0.353
390,Cotton,0.405,0.405
391,Cotton,0.353,0.353
392,Cotton,0.353,0.353
393,Cotton,0.353,0.353
394,Cotton,0.353,0.353
395,Cotton,0.353,0.353
396,Cotton,0.353,0.353
397,Cotton,0.353,0.353
398,Cotton,0.353,0.353
399,Cotton,0.353,0.353
400,Cotton,0.353,0.353
401,Cotton,0.353,0.353
402,Cotton,0.353,0.353
403,Cotton,0.353,0.353
404,Cotton,0.353,0.353
405,Cotton,0.353,0.353
406,Cotton,0.353,0.353
407,Cotton,0.311,0.311
408,Cotton,0.263,0.263
409,Cotton,0.405,0.405
410,Cotton,0.605,0.605
411,Cotton,0.353,0.353
412,Cotton,0.353,0.353
413,Cotton,0.353,0.353
414,Cotton,0.353,0.353
415,Maize,2.023,2.02125
416,Cotton,0.353,0.353
417,Cotton,0.353,0.353
418,Rice,1.806,1.9449230769230772
419,Cotton,0.315,0.315
420,Maize,1.348,1.3468339100346023
421,Groundnut,1.915,1.5234685759745428
422,Bajra,2.446,1.7213927781871776
423,Maize,1.897,1.8953589965397926
424,Groundnut,1.799,1.4311853619729515
425,Cotton,0.319,0.319
426,Groundnut,1.874,1.4908512330946702
427,Groundnut,1.778,1.4144789180588706
428,Groundnut,1.549,1.232299124900557
429,Cotton,0.344,0.344
430,Cotton,0.244,0.244
431,Cotton,0.266,0.266
432,Bajra,2.445,1.720689019896831
433,Groundnut,1.734,1.379474940334129
434,Cotton,0.338,0.338
435,Bajra,2.894,2.0366764922623433
436,Cotton,0.247,0.247
437,Cotton,0.305,0.305
438,Cotton,0.279,0.279
439,Maize,2.134,2.1321539792387543
440,Cotton,0.272,0.272
441,Groundnut,1.655,1.3166268894192523
442,Groundnut,1.589,1.2641209228321402
443,Bajra,2.355,1.6573507737656594
444,Rice,1.758,1.8932307692307695
445,Rice,2.111,2.273384615384616
446,Cotton,0.531,0.531
447,Cotton,0.291,0.291
448,Cotton,0.291,0.291
449,Cotton,0.291,0.291
450,Cotton,0.291,0.291
451,Cotton,0.291,0.291
452,Rice,1.758,1.8932307692307695
453,Cotton,0.383,0.383
454,Bajra,2.306,1.622866617538688
455,Bajra,1.611,1.1337546057479733
456,Cotton,0.33,0.33
457,Cotton,0.257,0.257
458,Cotton,0.235,0.235
459,Rice,1.686,1.815692307692308
460,Groundnut,1.695,1.3484486873508355
461,Rice,2.129,2.292769230769231
462,Maize,2.409,2.4069160899653976
463,Rice,1.758,1.8932307692307695
464,Cotton,0.31,0.31
465,Cotton,0.291,0.291
466,Bajra,2.739,1.9275939572586585
467,Groundnut,1.315,1.0461416070007956
468,Rice,1.965,2.1161538461538467
469,Cotton,0.305,0.305
470,Cotton,0.294,0.294
471,Cotton,0.377,0.377
472,Cotton,0.306,0.306
473,Bajra,2.359,1.6601658069270449
474,Cotton,0.287,0.287
475,Rice,1.244,1.339692307692308
476,Groundnut,1.499,1.1925218774860782
477,Bajra,1.71,1.203426676492262
478,Bajra,2.084,1.4666322770817979
479,Bajra,2.21,1.5553058216654383
480,Groundnut,1.534,1.2203659506762135
481,Bajra,2.398,1.6876123802505527
482,Cotton,0.28,0.28
483,Maize,2.095,2.093187716262976
484,Cotton,0.273,0.273
485,Cotton,0.272,0.272
486,Rice,2.143,2.307846153846154
487,Bajra,1.812,1.2752100221075902
488,Groundnut,1.294,1.0294351630867145
489,Bajra,2.238,1.575011053795136
490,Groundnut,1.63,1.2967382657120128
491,Bajra,2.59,1.8227339719970521
492,Cotton,0.284,0.284
493,Cotton,0.314,0.314
494,Cotton,0.28,0.28
495,Bajra,2.474,1.7410980103168754
496,Cotton,0.248,0.248
497,Cotton,0.281,0.281
498,Bajra,2.607,1.8346978629329402
499,Bajra,1.805,1.2702837140751657
500,Groundnut,2.038,1.6213206046141608
501,Cotton,0.26,0.26
502,Cotton,0.267,0.267
503,Bajra,2.916,2.052159174649963
504,Cotton,0.282,0.282
505,Bajra,2.765,1.9458916728076638
506,Bajra,2.284,1.6073839351510681
507,Bajra,2.606,1.8339941046425936
508,Bajra,2.336,1.6439793662490785
509,Bajra,2.576,1.8128813559322032
510,Cotton,0.247,0.247
511,Maize,2.499,2.496838235294118
512,Cotton,0.272,0.272
513,Bajra,2.548,1.7931761238025055
514,Groundnut,2.215,1.7621320604614161
515,Cotton,0.277,0.277
516,Bajra,2.801,1.9712269712601325
517,Cotton,0.461,0.461
518,Bajra,3.174,2.233728813559322
519,Cotton,0.326,0.326
520,Cotton,0.282,0.282
521,Cotton,0.307,0.307
522,Cotton,0.314,0.314
523,Cotton,0.28,0.28
524,Groundnut,1.961,1.5600636435958635
525,Bajra,3.528,2.4828592483419305
526,Groundnut,1.84,1.4638027048528244
527,Groundnut,1.712,1.3619729514717582
528,Groundnut,1.381,1.0986475735879078
529,Cotton,0.252,0.252
530,Groundnut,1.921,1.5282418456642801
531,Groundnut,2.071,1.6475735879077171
532,Maize,1.825,1.8234212802768166
533,Cotton,0.361,0.361
534,Bajra,2.144,1.508857774502579
535,Cotton,0.234,0.234
536,Groundnut,1.88,1.4956245027844073
537,Groundnut,1.747,1.3898170246618937
538,Bajra,2.463,1.7333566691230655
539,Cotton,0.32,0.32
540,Cotton,0.349,0.349
541,Cotton,0.263,0.263
542,Cotton,0.253,0.253
543,Cotton,0.271,0.271
544,Groundnut,2.004,1.5942720763723153
545,Maize,1.828,1.8264186851211075
546,Cotton,0.332,0.332
547,Groundnut,1.486,1.1821797931583136
548,Groundnut,1.557,1.2386634844868736
549,Cotton,0.254,0.254
550,Rice,1.575,1.6961538461538463
551,Bajra,3.062,2.1549078850405303
552,Bajra,1.979,1.392737656595431
553,Bajra,2.749,1.9346315401621221
554,Bajra,2.713,1.9092962417096535
555,Groundnut,1.383,1.100238663484487
556,Cotton,0.383,0.383
557,Cotton,0.413,0.413
558,Bajra,2.946,2.0732719233603536
559,Maize,3.006,3.0033996539792387
560,Bajra,2.845,2.002192336035372
561,Cotton,0.482,0.482
562,Cotton,0.532,0.532
563,Cotton,0.46,0.46
564,Cotton,0.26,0.26
565,Cotton,0.319,0.319
566,Cotton,0.308,0.308
567,Cotton,0.268,0.268
568,Cotton,0.42,0.42
569,Groundnut,2.16,1.7183770883054896
570,Cotton,0.4,0.4
571,Groundnut,1.759,1.3993635640413684
572,Cotton,0.432,0.432
573,Groundnut,2.089,1.6618933969769294
574,Cotton,0.262,0.262
575,Groundnut,1.939,1.5425616547334926
576,Groundnut,1.863,1.4821002386634847
577,Cotton,0.366,0.366
578,Cotton,0.506,0.506
579,Cotton,0.522,0.522
580,Cotton,0.319,0.319
581,Cotton,0.322,0.322
582,Cotton,0.39,0.39
583,Groundnut,1.671,1.3293556085918856
584,Maize,3.006,3.0033996539792387
585,Cotton,0.544,0.544
586,Bajra,2.722,1.9156300663227706
587,Cotton,0.356,0.356
588,Bajra,2.444,1.7199852616064848
589,Bajra,1.731,1.2182056005895356
590,Cotton,0.251,0.251
591,Cotton,0.231,0.231
592,Cotton,0.276,0.276
593,Groundnut,1.596,1.2696897374701672
594,Cotton,0.409,0.409
595,Cotton,0.52,0.52
596,Groundnut,1.843,1.466189339697693
597,Cotton,0.338,0.338
598,Cotton,0.287,0.287
599,Cotton,0.326,0.326
600,Cotton,0.27,0.27
601,Bajra,2.984,2.100014738393515
602,Cotton,0.359,0.359
603,Cotton,0.274,0.274
604,Cotton,0.284,0.284
605,Cotton,0.343,0.343
606,Bajra,2.284,1.6073839351510681
607,Groundnut,1.692,1.3460620525059668
608,Cotton,0.443,0.443
609,Groundnut,2.078,1.653142402545744
610,Cotton,0.289,0.289
611,Maize,1.772,1.7704671280276818
612,Cotton,0.321,0.321
613,Cotton,0.306,0.306
614,Cotton,0.372,0.372
615,Cotton,0.447,0.447
616,Groundnut,1.641,1.3054892601431982
617,Cotton,0.263,0.263
618,Groundnut,1.818,1.4463007159904537
619,Cotton,0.301,0.301
620,Bajra,2.312,1.6270891672807661
621,Cotton,0.291,0.291
622,Groundnut,1.842,1.4653937947494036
623,Bajra,2.558,1.8002137067059687
624,Groundnut,1.706,1.3571996817820209
625,Cotton,0.329,0.329
626,Cotton,0.293,0.293
627,Groundnut,1.713,1.362768496420048
628,Cotton,0.309,0.309
629,Maize,1.851,1.8493987889273358
630,Cotton,0.283,0.283
631,Cotton,0.289,0.289
632,Bajra,2.572,1.8100663227708178
633,Bajra,2.775,1.9529292557111273
634,Bajra,2.829,1.9909322033898305
635,Bajra,2.124,1.4947826086956522
636,Cotton,0.265,0.265
637,Bajra,1.915,1.3476971260132644
638,Bajra,2.078,1.4624097273397196
639,Groundnut,1.576,1.2537788385043758
640,Bajra,2.807,1.9754495210022105
641,Groundnut,2.016,1.6038186157517902
642,Groundnut,2.237,1.779634049323787
643,Rice,1.518,1.634769230769231
644,Bajra,3.422,2.4082608695652175
645,Cotton,0.479,0.479
646,Bajra,3.013,2.120423728813559
647,Cotton,0.284,0.284
648,Cotton,0.345,0.345
649,Cotton,0.343,0.343
650,Groundnut,1.764,1.4033412887828165
651,Bajra,2.401,1.6897236551215915
652,Cotton,0.338,0.338
653,Cotton,0.325,0.325
654,Bajra,3.021,2.12605379513633
655,Groundnut,1.607,1.2784407319013527
656,Bajra,3.053,2.1485740604274133
657,Bajra,2.074,1.4595946941783342
658,Bajra,2.675,1.882553426676492
659,Cotton,0.29,0.29
660,Maize,1.672,1.670553633217993
661,Cotton,0.375,0.375
662,Cotton,0.502,0.502
663,Cotton,0.263,0.263
664,Groundnut,1.678,1.3349244232299127
665,Cotton,0.28,0.28
666,Cotton,0.605,0.605
667,Cotton,0.306,0.306
668,Groundnut,1.757,1.3977724741447892
669,Bajra,3.125,2.1992446573323505
670,Bajra,2.614,1.8396241709653645
671,Cotton,0.271,0.271
672,Groundnut,1.529,1.2163882259347654
673,Cotton,0.248,0.248
674,Bajra,3.528,2.4828592483419305
675,Groundnut,1.828,1.4542561654733495
676,Groundnut,1.36,1.0819411296738268
677,Groundnut,1.977,1.5727923627684968
678,Maize,2.38,2.3779411764705882
679,Cotton,0.434,0.434
680,Cotton,0.423,0.423
681,Cotton,0.328,0.328
682,Cotton,0.401,0.401
683,Cotton,0.308,0.308
684,Cotton,0.31,0.31
685,Groundnut,1.652,1.3142402545743834
686,Groundnut,1.841,1.4645982498011139
687,Cotton,0.264,0.264
688,Groundnut,1.648,1.3110580747812253
689,Rice,1.327,1.4290769230769234
690,Rice,1.542,1.6606153846153848
691,Rice,1.3,1.4000000000000004
692,Bajra,2.863,2.0148599852616065
693,Cotton,0.294,0.294
694,Cotton,0.471,0.471
695,Groundnut,2.272,1.807478122513922
696,Cotton,0.356,0.356
697,Cotton,0.367,0.367
698,Cotton,0.403,0.403
699,Groundnut,2.261,1.798727128082737
700,Bajra,2.503,1.7615070007369196
701,Bajra,2.898,2.039491525423729
702,Groundnut,1.702,1.3540175019888625
703,Cotton,0.379,0.379
704,Bajra,2.538,1.7861385408990418
705,Cotton,0.418,0.418
706,Bajra,2.797,1.968411938098747
707,Cotton,0.312,0.312
708,Groundnut,1.961,1.5600636435958635
709,Groundnut,1.74,1.3842482100238664
710,Cotton,0.551,0.551
711,Cotton,0.315,0.315
712,Cotton,0.277,0.277
713,Cotton,0.41,0.41
714,Rice,1.243,1.338615384615385
715,Cotton,0.528,0.528
716,Groundnut,1.754,1.3953858392999205
717,Cotton,0.308,0.308
718,Bajra,3.206,2.2562490788504053
719,Cotton,0.516,0.516
720,Maize,2.972,2.969429065743945
721,Cotton,0.52,0.52
722,Cotton,0.591,0.591
723,Cotton,0.605,0.605
724,Cotton,0.479,0.479
725,Groundnut,2.062,1.6404136833731107
726,Cotton,0.353,0.353
727,Groundnut,1.961,1.5600636435958635
728,Bajra,2.626,1.8480692704495207
729,Cotton,0.394,0.394
730,Cotton,0.523,0.523
731,Groundnut,2.03,1.614956245027844
732,Cotton,0.379,0.379
733,Cotton,0.56,0.56
734,Maize,2.523,2.5208174740484433
735,Cotton,0.461,0.461
736,Cotton,0.371,0.371
737,Cotton,0.385,0.385
738,Cotton,0.259,0.259
739,Cotton,0.277,0.277
740,Cotton,0.263,0.263
741,Rice,1.978,2.1301538461538465
742,Cotton,0.605,0.605
743,Groundnut,1.795,1.4280031821797932
744,Bajra,2.073,1.458890935887988
745,Rice,1.758,1.8932307692307695
746,Rice,1.758,1.8932307692307695
747,Rice,2.181,2.348769230769231
748,Groundnut,1.681,1.3373110580747813
749,Groundnut,1.589,1.2641209228321402
750,Groundnut,1.819,1.4470962609387432
751,Groundnut,1.965,1.5632458233890216
752,Cotton,0.317,0.317
753,Cotton,0.282,0.282
754,Cotton,0.39,0.39
755,Cotton,0.503,0.503
756,Cotton,0.396,0.396
757,Groundnut,1.743,1.3866348448687353
758,Cotton,0.383,0.383
759,Groundnut,1.913,1.5218774860779636
760,Bajra,3.134,2.2055784819454676
761,Groundnut,2.2,1.7501988862370728
762,Bajra,2.503,1.7615070007369196
763,Maize,2.03,2.028243944636678
764,Groundnut,1.773,1.4105011933174225
765,Groundnut,1.754,1.3953858392999205
766,Cotton,0.277,0.277
767,Groundnut,1.706,1.3571996817820209
768,Bajra,2.722,1.9156300663227706
769,Cotton,0.274,0.274
770,Cotton,0.265,0.265
771,Cotton,0.269,0.269
772,Cotton,0.308,0.308
773,Cotton,0.289,0.289
774,Maize,1.905,1.9033520761245675
775,Groundnut,1.572,1.2505966587112174
776,Bajra,2.822,1.9860058953574058
777,Bajra,2.682,1.8874797347089165
778,Bajra,2.508,1.7650257921886512
779,Bajra,2.349,1.6531282240235814
780,Bajra,2.944,2.0718644067796608
781,Groundnut,1.734,1.379474940334129
782,Groundnut,2.107,1.6762132060461419
783,Cotton,0.253,0.253
784,Maize,1.869,1.8673832179930796
785,Groundnut,1.706,1.3571996817820209
786,Groundnut,1.688,1.3428798727128084
787,Bajra,2.276,1.6017538688282975
788,Bajra,2.127,1.496893883566691
789,Cotton,0.269,0.269
790,Groundnut,1.912,1.5210819411296739
791,Groundnut,1.821,1.4486873508353224
792,Bajra,3.528,2.4828592483419305
793,Bajra,2.896,2.0380840088430356
794,Bajra,2.956,2.080309506263817
795,Maize,2.538,2.535804498269896
