farm_id,s1_vh_season_integral,s1_vh_mean_db,s1_vh_db_20250612,s1_vh_db_20250624,s1_vh_db_20250706,s1_vh_db_20250718,s1_vh_db_20250730,s1_vh_db_20250823,s1_vh_db_20250904,s1_vh_db_20250916,s1_vh_db_20250928,s1_vh_db_20251010
32,6.448723459616303,-12.901317868131866,-16.693322048039075,-11.56687433116196,-12.574435995984883,-9.988823662591166,-14.67996305368002,-12.06534348162921,-10.658884343715474,-14.654912174826269,-16.14719592430896,-15.950566501682777
33,2.622541959397495,-16.72305790191103,-18.16992339251367,-17.15210585036733,-16.288135649255018,-14.757024126164906,-14.779705473694353,-17.6807720210267,-19.28376072915163,-17.149964781107812,-17.82750933849046,-16.32213603121007
34,4.678720973432064,-14.160361928347982,-15.210088846999401,-14.084935147127426,-14.07348953027231,-13.048822892259299,-13.581718368580702,-14.85536187497364,-14.440386185992436,-13.824404803095824,-14.215120077586288,-14.689853991082401
35,4.007087199948728,-15.072242749573896,-19.151266697270255,-14.84050865465731,-12.700254578269735,-11.741249552166291,-13.12232765459582,-15.881863346143867,-16.876173875430325,-16.635374624835,-19.188099936813643,-17.81096100015747
36,3.133049312978983,-16.004039688716997,-19.113979941136982,-16.88486190930692,-13.880848107552541,-13.32274171720326,-15.248292409448663,-16.523654148214078,-16.504771782790225,-16.49293240275761,-18.4663772279132,-17.07669763554899
37,2.683252679184079,-16.74424388215921,-18.624720146276577,-16.932397015584606,-15.364415291257451,-14.925035092421696,-14.042794267316625,-17.77099412781557,-18.735957210022534,-17.342439798009334,-20.004390594040604,-17.33966267733308
38,3.4231308940798044,-15.699028991149754,-17.30072259203809,-17.090570441379967,-14.559084721643828,-13.945369841159916,-13.586528435893078,-15.1406691127862,-17.43434333419921,-16.587252658463264,-17.532322646944202,-16.254375653505527
39,3.4256144911050797,-15.488261671711568,-17.02726493173923,-15.317819484292531,-13.819484111912567,-15.627278289501433,-14.182213582759184,-16.216738869915062,-16.4910111066374,-16.473517669950716,-16.783295938304196,-14.37591822836528
40,4.766363242641091,-14.15367788537177,-17.589053814785974,-17.026714191052985,-11.141511854605215,-11.96080485096781,-11.888598290835525,-18.41955167178847,-13.501876357451348,-16.368621568920478,-16.239662096464652,-14.456158721777301
41,12.633171066641808,-9.893495565772342,-10.942801001481829,-9.544802918406592,-9.746979250924712,-9.59357687425025,-9.111528324815108,-9.298073144328429,-10.143208731875927,-9.821069813943918,-11.40293189395562,-9.834611311078081
42,7.817062905058265,-11.877245801398272,-15.406874516701068,-14.245401770742106,-13.68051110269256,-13.78673938334574,-11.776012955623427,-10.829511430107166,-11.309487706034334,-10.998568417347416,-10.969906811767506,-9.37411742784151
43,4.924214109778404,-13.812995787132857,-14.271579468070145,-15.343306698315079,-13.236373173006319,-13.324799959379716,-13.096241865141014,-14.053260975977643,-14.930724163313512,-14.445520107619922,-14.302015264024659,-12.11170306582855
44,3.0535443015396595,-15.776532892008202,-16.444416604039223,-18.06842538660925,-16.00580503722009,-15.23243428333122,-15.642999048585736,-16.69556516895699,-15.247081431143538,-15.526997212872951,-17.308852682458408,-13.374631512815203
45,3.7542862817645073,-15.0561205302094,-17.530304319181067,-17.035769477027184,-15.700181068756331,-14.365868922345978,-13.902044589883765,-16.684048415248323,-13.628148203296943,-15.182571711753871,-14.920846269705262,-13.65129931560146
46,,,,,,,,,,,,
47,4.9659713208675385,-13.930136124884863,-16.077958777612366,-16.380494110221242,-14.362845051815889,-14.025873006611494,-12.471850783413316,-14.397292189010212,-12.075126387774354,-14.287217231372683,-14.11664873825895,-13.034444067239635
48,4.6625295002013445,-14.342249853747909,-15.952429373501412,-15.903349924494076,-13.947586849392135,-14.454742914855254,-13.06765521433235,-12.760982542381008,-14.506264140638388,-14.602072876691107,-14.863216927848582,-14.474383762426264
49,3.303028481081128,-15.881469293246706,-16.168468142335385,-14.957324354658514,-16.812489902923005,-14.451614612187146,-12.737428599634725,-16.289773177021402,-17.496415918305537,-17.716960995689973,-18.089486910007253,-17.363790186793096
50,,,,,,,,,,,,
51,4.495520115830004,-14.64829946949293,-16.313475256171095,-15.517244184842822,-14.595478184008012,-13.560366908486703,-11.375614711674169,-14.68862481441559,-16.62991795447048,-14.867036035429958,-15.012113385291464,-16.98843504686336
52,,,,,,,,,,,,
53,4.860814416781068,-13.958354196226843,-16.25706470499033,-15.470631641506445,-12.011202295937125,-13.527347514357906,-15.136790766528412,-13.892353263554849,-13.268948575200962,-12.568918889064928,-15.664812252822149,-13.8166563117164
54,4.674199688248336,-14.50399219096897,-15.716221536092288,-16.082138262777036,-13.786934781077967,-14.944086471957402,-13.031201742378787,-12.066420487699139,-12.702043342978692,-14.754718564650453,-18.204938444238124,-18.23199555626135
55,2.8178654490038753,-16.56147384387986,-20.732890156260417,-19.46358050955475,-20.09280336152683,-18.530356085815775,-16.298493529529956,-14.662484559571878,-12.037611701987833,-16.869801140530033,-18.119344842027203,-16.7801843016293
56,4.6214279774576426,-14.249360915271009,-17.1329330627276,-11.88815170341599,-11.751134116531503,-12.091561674916013,-15.852496712251575,-14.91646386764721,-15.605681001147662,-14.628277023073151,-16.457951653329005,-16.899471550600715
57,,,,,,,,,,,,
58,7.650525905191898,-12.001303029807852,-11.01849300346656,-10.750830143431731,-12.449299154056881,-13.018157238829932,-11.125037469133227,-12.480665155267072,-11.805202962173293,-14.485140210037137,-10.732882159952148,-13.87039227259892
59,6.172460686415434,-12.86392377961717,-12.001789700368189,-12.249532833452594,-13.841336248366582,-12.798134691068766,-12.858085660877128,-13.215483506698147,-12.34905519626497,-12.630330261636802,-13.326486441610665,-13.773531745092143
60,5.9531055092811584,-13.164416970478651,-14.344959738537057,-13.55990362671357,-12.00746945920082,-12.715752761402769,-13.197063993686019,-11.889098163342108,-12.490673053856332,-13.999519056982805,-15.583415450146994,-13.115493384806648
61,5.35940483585,-13.518350189329425,-13.78554706730084,-13.694099122078905,-12.960478161600857,-12.285220185664539,-14.25450162074755,-13.541298311913181,-12.196538862964225,-14.568019691583693,-14.289762901946686,-14.397251887602536
62,5.662965511903167,-13.462870230386068,-16.031628805516178,-13.219972636435083,-14.069620450366054,-11.216859769660497,-12.019449080396702,-14.047449643217508,-13.070239647981598,-13.89683795079754,-14.382112356019942,-14.626157785644322
63,3.525526899844408,-15.559248461224042,-17.847041944958598,-19.094132513939982,-15.790083723932964,-17.129514920507244,-15.268385110837048,-13.894599688896442,-13.723816277200632,-14.416276708034374,-14.963403791772832,-16.46845707636923
64,5.7283511236310005,-13.297022619613623,-13.868512963722585,-14.669972251719107,-13.40273130184232,-13.622272085226694,-12.08503061321691,-13.522384066816366,-13.639781457862805,-12.341800516156125,-13.076356087619594,-13.310244894924123
65,3.6721532866358757,-15.454201260082076,-17.22793766737148,-16.73241611795932,-15.955463046782803,-15.129085295212462,-13.328786359728817,-14.567491007929355,-14.464189302424781,-15.879802908146804,-15.933243281669823,-16.969538161258527
66,3.2572304969653487,-16.009734202884587,-18.19490335885146,-17.360274047253167,-16.085059170863918,-14.988945239477838,-13.808459633045047,-14.84105166708284,-15.66105171665466,-17.549648695268043,-16.199167032965754,-17.53629629235577
67,10.883822411298752,-10.48019633107377,-10.422900134999937,-8.972392739571314,-8.889510293886891,-9.721252742483351,-10.288972546382261,-10.90125793282829,-10.897350570996194,-11.908261604782995,-12.163420909019955,-12.16246891014988
68,5.517318695783615,-13.610074387563394,-15.783717467863825,-13.394448506271278,-15.200427891925292,-13.225430223203691,-11.265263133735388,-12.932997860980347,-13.362545598206438,-16.476322397059928,-13.910630582882622,-12.951761604270867
69,6.596318073570728,-12.819967394869764,-13.205351713135618,-12.140140647317548,-11.998792514075447,-12.152937008067477,-12.069901300989574,-11.621625882312651,-11.648964335768175,-13.884063449187625,-16.83663789481694,-15.445828750656808
70,6.469438310712576,-13.103488838312385,-14.647436700586402,-12.859225399550859,-12.44079022976589,-12.786368644547473,-12.31523999284368,-10.315485647198177,-11.565312502593233,-14.68038867915054,-16.92201274830156,-17.470098024990925
71,3.873375043272972,-15.178774331479953,-17.011582305073073,-13.827394265008389,-13.524427152385975,-14.419060528952603,-13.339250040831917,-15.08117435775926,-14.930031878296289,-17.278256481088782,-18.39657193498776,-17.24057476879346
72,4.849545691162348,-14.000830636196413,-16.9400949750045,-12.825643009174035,-12.705347231844058,-12.66008406342827,-14.208675456440474,-15.638196603551084,-12.98352107628376,-14.040757031764503,-15.23136747532333,-14.838761463702085
73,4.544912148267031,-14.450760077548061,-16.34137107928504,-13.086553583458942,-11.765226218091824,-14.213172198833657,-13.46348187028972,-14.000125571225173,-14.72144129409244,-16.495218182090905,-17.177731623018655,-16.60191715441758
74,8.60724575445056,-11.593603681633587,-13.0055118485462,-11.786437664314185,-11.357870984535499,-10.755737685961455,-11.022404276573122,-11.120513340565438,-11.39531546848758,-11.720467508286468,-11.813923284702032,-12.411772174188068
75,4.652370996773243,-14.246922466002536,-15.600091566553756,-14.217045974188899,-13.32420930615202,-12.583556442901411,-12.912595308767518,-15.374985388383148,-13.930593241630566,-14.5635900482194,-16.190915729730506,-15.31426606268693
76,4.820795048028231,-14.10863195392517,-16.512410038176693,-13.760989707772014,-13.517579385976573,-12.738158859740931,-13.245723600124723,-14.132954615310549,-13.382145417716309,-14.746330310187448,-16.1902030468426,-14.349992150981613
77,3.8579770289361477,-15.183024840338978,-16.440621263222376,-13.425440220696899,-12.614237013957254,-13.879217021364173,-13.07936370577486,-16.3906124093372,-15.391835443521364,-18.55064630526296,-19.402946260576,-18.916513457067715
78,4.428514279425144,-14.49110319340302,-15.731238510450671,-13.419420341381516,-15.579606459500841,-12.945793957532894,-13.450682371863405,-14.241300065646836,-14.032619270433958,-16.632081249583713,-14.98733982779278,-15.359364600675427
79,3.616326017305255,-15.45038309568498,-18.314089414336802,-14.523533957342103,-14.705382278589932,-15.84806668061766,-13.228915329672947,-16.756258970051636,-14.296250540590359,-16.217939438796623,-16.175442380335532,-16.708253827791204
80,3.0326211769133806,-16.286099694434554,-19.78755317426223,-16.142393289223026,-14.649535436595105,-17.01676597796499,-12.901421994917822,-17.88730036619517,-16.126435685338997,-17.506466136966466,-18.36442364669615,-16.586539890386515
81,3.7926980378106236,-15.33230287089861,-19.76638855258912,-13.977930190461493,-14.291846715242507,-18.405295772931908,-15.14120857086976,-12.984190347401743,-13.835356022581735,-15.192117046956351,-18.513923003412213,-16.177749655244014
82,4.426810674369335,-14.563354006088646,-17.0307206892963,-13.774379690108168,-13.897377305726561,-13.627364137045674,-12.88501752722992,-14.290552986428668,-14.359250261269947,-17.118117659853056,-15.437832238563384,-15.166400157651987
83,4.216507265344262,-14.683043696035545,-16.76538441462928,-13.8566301117664,-13.002425728024933,-14.652699612354109,-13.242701157936823,-14.913291329335784,-15.377867703643961,-17.131272963775046,-15.311830886210846,-14.414926155391587
84,4.488255299627781,-14.414550780823632,-17.15125609671114,-15.189007481424781,-14.963710352698612,-14.983064007294153,-14.018649451147038,-13.363939646865212,-12.829517017335775,-13.018475900338215,-17.263719892567057,-13.75253223703343
85,9.733761962503195,-10.98348388704684,-12.796977907343276,-11.168300287315041,-11.697830125404412,-10.433166829286,-10.4481841521076,-10.959056566509284,-10.295921649022679,-10.975158531760666,-11.173935645281944,-10.444147212752203
86,12.143132708966732,-9.969360946847726,-10.63483512358795,-9.78480793730265,-10.989350555369217,-10.0679549785273,-9.776331756024044,-10.072754348328932,-9.391146596632746,-9.782182838290069,-9.739575946779928,-9.68480458816281
87,4.6987711898982525,-14.299409916126283,-16.989921187964235,-12.80950323294276,-12.354359878649575,-12.901222090102234,-12.873432446792865,-14.110939000131983,-15.241635730240056,-16.39042073454818,-17.940502000951316,-15.163927728442705
88,3.495311189442873,-15.336259406906292,-16.6375775641236,-16.527790972744288,-14.653661313761905,-15.345975525178153,-15.333803969902824,-14.963656572965302,-14.6550952867025,-16.63125550265487,-15.868656346718375,-13.740170805838982
89,4.300090737640858,-14.457836680444123,-15.270157078886282,-12.720557599879163,-13.52447177196491,-13.43823434888324,-13.720459579460789,-15.657139680755506,-14.760742832323103,-17.233129819692124,-16.26559819659239,-14.002032223338944
90,4.350087236613035,-14.429580416846663,-16.963039910095777,-16.30957453468547,-15.479938297253973,-13.61445097174518,-13.643250416912691,-14.236715968851477,-13.483488592887063,-16.2856376084357,-14.089883207245162,-12.440705088431326
91,3.990737769752741,-14.72326018752339,-16.46850012343393,-15.067941535469325,-15.238906181413832,-12.666513561641839,-15.59270772706828,-14.626304481406438,-14.037976609220218,-16.510062135656966,-15.685956897612517,-13.147227764383565
92,4.376284617930651,-14.241651984242608,-16.01410054114752,-14.259639692802285,-12.137477724587239,-13.71513394903394,-15.592185983487283,-15.495290421065578,-14.28250268240032,-15.045598428552402,-15.020760389262733,-12.635305615829683
93,4.065040150657296,-14.599213340486997,-18.664030366618018,-17.968376951055763,-13.65158922904456,-12.843987816233387,-14.761342547047974,-13.897653557589496,-15.941395487819431,-16.364689411600242,-16.428272609358412,-11.154309963430808
94,4.047641828656197,-14.886338608053794,-17.398062486457597,-15.357589614262858,-13.899091859428069,-12.920563908438696,-13.61754136957786,-14.288016623585555,-15.67325121943947,-16.545367916846807,-17.356490074690047,-14.300873118248719
95,5.844268882647157,-13.370368331984032,-15.990039065215015,-12.031103230879259,-12.366823133028342,-12.7943909328046,-12.420994168422471,-13.132589199149983,-12.530866900976953,-13.546490091212268,-15.396600758361723,-15.671597914464572
96,5.204428888857365,-13.848351550804365,-15.700261920402458,-13.257861509149198,-13.46899080589164,-14.394338930612944,-13.62838285387637,-12.288230245431762,-12.584226959955815,-14.515845579853426,-15.051674775870405,-14.867718226254258
97,4.420654054731131,-14.490395200434358,-15.0924592325582,-13.805012419446445,-13.199305829723995,-14.188107618523736,-12.878157184474261,-14.901057609329367,-14.544965018212723,-16.29996639671408,-15.655391502057853,-15.628553364765141
98,3.728128407150507,-15.299363712871937,-17.979175758989914,-13.487102287310805,-15.829357610210037,-13.119671231868997,-14.380096787239829,-14.598166396725192,-16.382171237723647,-16.72024803361698,-17.011811583522185,-16.159802107464838
99,3.7675204128026962,-15.232830594986094,-16.929004228023132,-15.0598223255271,-17.504703414756115,-14.225760549831882,-13.429864028532021,-13.954805080125718,-15.598768002475312,-15.657006508183919,-18.104343163064996,-14.33410649826052
100,4.968443814665079,-14.119916466478301,-15.91408995367698,-13.195325889117612,-13.518091457505047,-12.554821997055408,-13.298737180059286,-12.533693512586233,-12.5509530327002,-17.715145884717558,-18.179263445328182,-16.303727250738053
101,4.377862695604563,-14.663371516485908,-17.05894288895329,-15.181943463765158,-15.108057128986918,-14.728948020841413,-13.413678993682225,-12.836749654093982,-13.239810446859623,-15.265679767052639,-16.836169756701473,-14.98881944847174
102,4.514403831213713,-14.403020171655847,-15.971302919324618,-14.294715195857286,-13.165654989638366,-13.983963161944654,-13.527120810853466,-13.74168615624084,-13.944374903702194,-15.51559173793532,-16.480683073672523,-14.60848497925134
103,6.350352326408029,-12.795661229616009,-19.124476074791705,-17.09552727783905,-16.6720491198762,-14.97456719081725,-13.727350178434204,-10.85559366381043,-11.409053285891574,-11.730443636876316,-11.440607209271466,-9.80688295141278
104,3.8145206160843372,-15.208322668873308,-18.528558451091154,-16.931294657494295,-14.467859376210574,-13.433066699765586,-14.037790491107279,-13.586935073606789,-15.946488775956777,-16.858924344272943,-16.899622090879415,-14.401333580033107
105,9.76569190621376,-10.973322116214387,-11.042232069237883,-9.406042526692426,-10.244487864845578,-10.036124787758126,-11.046776015877132,-10.665752843112841,-10.66360268986957,-11.85967687613405,-13.946684535380117,-12.47679699001253
106,12.28208975493908,-9.947358577037932,-11.350387422221965,-9.1458559297622,-10.92427739621714,-9.653083252152344,-9.551317301391313,-10.48043276860886,-9.477034424460696,-9.819175469744732,-9.744132397573447,-9.808408597376776
107,4.442223351448774,-14.606191736303613,-17.58883140995751,-14.632683613374953,-15.347685078410414,-13.18552697462648,-12.670762795308129,-14.030517226923642,-13.858065312242998,-16.627078147816995,-14.890441133605187,-15.483625375192307
108,12.449280962347984,-9.854847694376614,-10.57536323065601,-9.438724937167411,-9.969686403660416,-9.701384081962782,-9.865247493139083,-10.180092176301427,-9.50489949377299,-9.804100805476303,-9.812572218363282,-9.805008086725037
109,5.599761217832565,-13.329163436931044,-14.054000746812969,-11.919649358299953,-13.49681071671763,-14.248919005387917,-13.154123065837457,-13.677933076419686,-12.508176733957722,-14.371645405633831,-13.283323455122991,-13.20174681034366
110,9.504595331847668,-11.11864692144368,-11.543249920191787,-10.973919307961628,-9.716688390717918,-11.786956188045393,-10.9152732379035,-10.584146560062342,-10.933160664296771,-11.687145650792274,-11.369216690549951,-12.213929202190116
111,2.733865823596716,-16.345769356656117,-18.263262322649304,-17.25150464990125,-18.151058512042134,-17.753258278759375,-15.024264789836153,-16.37638946333689,-18.07374803908044,-17.143990861217247,-15.387698746562569,-13.201203087009075
112,4.7213609386235476,-14.42475065116028,-16.41847922505819,-14.34845090278669,-13.390358141633424,-12.585682743063721,-13.47016332448407,-12.261352038226933,-13.633621398140958,-17.524104918017237,-17.34754938157326,-17.769820857159257
113,4.987136542797089,-13.888910478376694,-15.74496361526843,-13.821446649112074,-13.567009774425804,-12.033506604449212,-13.65289876877694,-13.572644515182116,-15.126548283939613,-14.703914403565248,-14.434417446076942,-13.366134460413404
114,2.620888475328684,-16.806747728569423,-18.029122870738302,-18.48397910813404,-17.738969202824602,-15.471956073122488,-14.793835129159543,-15.960815417304639,-18.201839504887246,-16.82698120231771,-17.978209213111924,-16.35272388845032
115,5.745684050023556,-13.34586451376741,-16.284245061083148,-14.530606356358135,-13.112419903375542,-14.489286508784474,-14.039135722433247,-11.746546142570523,-11.734962032799217,-13.064144423409845,-13.370449021163001,-12.93771373906052
116,3.2876237388700247,-15.753604034561153,-17.17584891821071,-15.545830216453593,-17.267034952957424,-14.333944112221946,-14.094914584913887,-15.744469258504068,-16.43659527121985,-16.196400030857202,-16.84799798905948,-15.20040686257615
117,8.960654262453318,-11.285701659852155,-10.55913485254492,-11.13848217233141,-9.678662588104956,-10.346650611697735,-11.723896932847325,-11.946104738357342,-10.63867381338822,-11.107772535337336,-13.307986133413028,-14.286573178526998
118,4.77596976980567,-14.193229894939492,-17.679124374439475,-12.768616761312682,-12.197452876047123,-11.595518917895863,-13.04370150890155,-15.79165276597375,-14.031711193808135,-16.814771743955014,-16.87786066120647,-16.112589421340523
119,13.967237569391727,-9.556206200700831,-9.84963396585496,-8.307735076182453,-8.021426534328615,-8.912782138979484,-8.23853805765486,-9.64338467956196,-10.193119364895537,-10.667620290094213,-10.558951207473704,-13.730149811470733
120,3.2953729145228863,-15.498611022765305,-15.918866500386343,-14.704275710031183,-15.861398584592676,-17.357087788237997,-14.430333049777959,-16.90487802831722,-16.57507060047697,-15.169326002675003,-16.230234050952095,-13.421309016237553
121,9.499664481729269,-11.116492577210739,-10.75164181527562,-9.730153502815078,-10.45057301287541,-10.944286541906349,-10.391632046410859,-10.785558773480815,-11.422166170038793,-13.41077603513694,-11.829156404009337,-12.671641305333047
122,2.659069648012519,-16.728681079670316,-18.25294943083717,-16.72960946665343,-17.189921475795177,-17.485914141304637,-15.451166815033963,-15.745743222119543,-18.049486172829173,-16.408052468870697,-16.232733714875526,-16.61876963777964
123,3.39469260815531,-15.503785100934975,-18.08947427503655,-16.049232172737646,-15.102927347773536,-16.824042123914968,-16.522240912487643,-14.69981357970984,-14.126823999963701,-15.678392251131188,-15.278016964158457,-14.198005676724858
124,3.101433450356126,-15.92218333468467,-17.663985835309376,-15.25069247921109,-15.641647814805484,-15.18725615717605,-15.105941657503493,-17.1092363611366,-15.883768146705485,-17.051257181902045,-15.59017773115053,-15.56763826568101
125,3.8559177853167057,-15.156890337016637,-17.492707910836497,-13.303739211408995,-13.029916671251232,-13.37747096583234,-13.536595580686992,-16.129034874009417,-16.613369939953802,-18.600957133549553,-16.531511153853835,-17.39283413432363
126,5.132690643891692,-13.798644548388932,-17.344094635182852,-13.513603249154212,-12.18299879573591,-11.99960622714505,-12.387578734472104,-14.336666855759383,-14.790733457481275,-16.169570214956153,-16.218616386348483,-12.622685161955756
127,5.752870839089155,-13.382042400847958,-15.991663408281813,-13.339200478092447,-12.787714577844554,-13.017927415083188,-11.643999617412863,-13.79491548351403,-13.357776157297723,-13.719079799321543,-13.781440879795417,-13.545110865411306
128,2.947348728775978,-16.103018869353487,-16.890369604668905,-16.674550221544763,-16.198199671016905,-14.084997724600726,-16.41429212642198,-16.329864061373524,-16.652069164575792,-16.06695476766848,-16.420610655335555,-16.015704336511178
129,3.4403968546539545,-15.566571773505922,-17.22648389148152,-16.758667536813917,-16.15981012620776,-14.309183616450746,-16.910873888247963,-13.936217954558867,-12.765534457200264,-16.2705666980374,-18.11446411447968,-16.28381340876518
130,4.494430862367153,-14.443016258899968,-16.545353311546545,-16.064452272538794,-15.14850119609251,-13.583748947922691,-13.87481563279264,-12.63909379024194,-12.162883520471368,-16.52596615503946,-17.81244874882671,-13.644230931361125
131,4.601151963695884,-14.075478189927894,-14.909546465949763,-13.28332758995844,-13.537802389966656,-13.374359334016447,-14.622146579770046,-15.16809509420959,-14.458133588642577,-15.272674813291703,-13.661877360908147,-13.163350511249783
132,3.635354194790125,-15.222909320869766,-14.730311871322805,-14.616018221384124,-16.447468368258495,-15.048657398787972,-14.744823446030766,-15.39322567380275,-14.388905536578074,-15.085282857403898,-16.062894744679426,-16.25373203106852
133,3.739544067531824,-15.321815920064756,-17.073561373314217,-18.439082106372414,-14.280191431565845,-14.20390501315586,-12.428777688911858,-15.299868676364767,-16.08798763155398,-16.768468164582877,-16.784433116090874,-15.074295929775534
134,5.525104958564043,-13.444203055745804,-16.01124051471108,-12.234462966159274,-13.335424902084902,-12.733245722134235,-14.505029342144294,-13.60990112619099,-11.66511025547166,-13.2571514502378,-14.491768452507205,-14.201403414015433
