farm_id,crop_type,p_assigned,entropy,yield_sd,p_Rice,p_Cotton,p_Maize,p_Bajra,p_Groundnut
29,Rice,0.3277,0.9651497333897644,0.6526930306481636,0.3277,0.1234,0.1976,0.1937,0.1576
30,Cotton,0.9691,0.09665594410048281,0.4392111013868531,0.0001,0.9691,0.0238,0.0001,0.0069
31,Maize,0.4897,0.7278419449386473,1.010699050693977,0.0267,0.3477,0.4897,0.0451,0.0909
32,Rice,0.4929,0.8243014197163936,0.5868873310110634,0.4929,0.0762,0.0684,0.2422,0.1204
33,Cotton,0.4846,0.8267115341387361,1.0245477685123463,0.2024,0.4846,0.1675,0.0318,0.1137
34,Rice,0.4884,0.8391708478851887,0.7399018266953611,0.4884,0.155,0.0719,0.0755,0.2092
35,Rice,0.2603,0.9764951832411614,0.5875886613390201,0.2603,0.1078,0.2354,0.2122,0.1843
36,Maize,0.3608,0.9556214731360406,0.6603576046956012,0.1519,0.1462,0.3608,0.1788,0.1622
37,Rice,0.3609,0.9422590201472344,0.7471194592674903,0.3609,0.1988,0.0967,0.1468,0.1969
38,Rice,0.4674,0.8650435964041745,0.5855954936298619,0.4674,0.0979,0.0766,0.1542,0.2038
39,Cotton,0.3588,0.8764932849567965,0.849158943696521,0.3399,0.3588,0.1158,0.0564,0.1291
40,Cotton,0.2571,0.9806134380968258,0.8608792552109137,0.2365,0.2571,0.2145,0.1218,0.1702
41,Cotton,0.982,0.06389315358713621,0.36831380755049353,0.0002,0.982,0.0127,0.0001,0.0051
42,Cotton,0.9662,0.10123443103375539,0.41388033827700943,0.0001,0.9662,0.029,0.0001,0.0047
43,Cotton,0.3265,0.9634017366115375,0.8466099005886765,0.1812,0.3265,0.1852,0.1105,0.1967
44,Cotton,0.5548,0.7642236047209623,0.896446939600049,0.0496,0.5548,0.2118,0.0573,0.1265
45,Cotton,0.5647,0.7706325472224351,0.9173702366406349,0.0539,0.5647,0.1718,0.0652,0.1445
46,Cotton,0.5626,0.701581199605686,1.0456326952878878,0.024,0.5626,0.2679,0.0372,0.1083
47,Cotton,0.7169,0.5034069260952567,1.1516999383483688,0.0148,0.7169,0.2159,0.0087,0.0438
48,Cotton,0.502,0.78347151264409,1.1225186859700407,0.0882,0.502,0.2811,0.0406,0.0881
49,Rice,0.4227,0.8608180889921525,0.787937581413663,0.4227,0.2115,0.063,0.0646,0.2382
50,Cotton,0.7164,0.4126508505453742,1.4465133475792358,0.0018,0.7164,0.2688,0.0013,0.0117
51,Cotton,0.582,0.7282482426512399,0.7218483968860981,0.1275,0.582,0.0185,0.082,0.19
52,Cotton,0.6857,0.5325335340739774,1.1348815344303518,0.0148,0.6857,0.2364,0.0064,0.0567
53,Cotton,0.4503,0.788829540883403,1.0645161267104235,0.0439,0.4503,0.3307,0.0472,0.1279
54,Maize,0.384,0.8949711332992017,0.9227012363153364,0.0608,0.2731,0.384,0.1655,0.1165
55,Maize,0.55,0.530858604579564,1.007056185609149,0.0004,0.4088,0.55,0.014,0.0268
56,Rice,0.5088,0.8200486295132138,0.6246379615795881,0.5088,0.0985,0.0553,0.2147,0.1226
57,Maize,0.4147,0.88076705302795,0.5889539216226206,0.2751,0.0847,0.4147,0.133,0.0924
58,Cotton,0.5927,0.6831452893341614,1.5120024201955449,0.058,0.5927,0.2591,0.0303,0.0598
59,Cotton,0.743,0.5061870488741934,0.9943568031131611,0.0198,0.743,0.1747,0.0188,0.0437
60,Groundnut,0.272,0.9688313038819499,1.0352127154414044,0.1668,0.2459,0.1008,0.2144,0.272
61,Cotton,0.5692,0.7886637353311511,0.8732103449044951,0.1381,0.5692,0.1081,0.0705,0.1141
62,Cotton,0.5502,0.5743388892279016,1.1169587245353092,0.0102,0.5502,0.388,0.0125,0.0391
63,Rice,0.3124,0.9678938206994143,0.8629095203585545,0.3124,0.2289,0.1687,0.123,0.1669
64,Cotton,0.5869,0.7217134053045621,0.9100446509077638,0.036,0.5869,0.1922,0.0428,0.1421
65,Rice,0.2902,0.9783634457173981,0.8381637200311283,0.2902,0.2083,0.1933,0.1257,0.1825
66,Rice,0.4869,0.8571875387136921,0.574294230045561,0.4869,0.073,0.1118,0.1605,0.1678
67,Cotton,0.9402,0.15960451510721468,0.7479169519738202,0.0008,0.9402,0.0503,0.0005,0.0081
68,Cotton,0.2941,0.9767122496943602,0.8333934164627509,0.2276,0.2941,0.1855,0.1437,0.1492
69,Cotton,0.5956,0.44090279651211034,1.5842591728020867,0.0009,0.5956,0.3989,0.0014,0.0033
70,Cotton,0.7798,0.3471114412763874,1.3347218532527945,0.0012,0.7798,0.2145,0.0008,0.0037
71,Groundnut,0.2631,0.9910260756556076,1.0085478425430767,0.1836,0.1938,0.2005,0.1589,0.2631
72,Maize,0.356,0.9175163462351085,0.7012171426808635,0.0549,0.2068,0.356,0.1502,0.2321
73,Maize,0.351,0.903111526944461,0.8829937197441203,0.0917,0.3236,0.351,0.1156,0.1182
74,Cotton,0.9849,0.05426499777471046,0.29393202166258503,0.0002,0.9849,0.0122,0.0001,0.0027
75,Cotton,0.2462,0.9879384872250895,0.7413812485773611,0.1604,0.2462,0.2108,0.1487,0.2339
76,Cotton,0.4023,0.9161041625465947,0.8357358314160096,0.1378,0.4023,0.184,0.0824,0.1935
77,Cotton,0.4316,0.8538767460400127,0.6213728605637571,0.0816,0.4316,0.1099,0.0814,0.2956
78,Rice,0.4985,0.8355270661511605,0.5405203431640769,0.4985,0.0977,0.0684,0.1233,0.2121
79,Rice,0.3936,0.8993162219867531,0.5257476139255398,0.3936,0.0814,0.0857,0.213,0.2263
80,Rice,0.3672,0.8381348835862089,0.3919538124941017,0.3672,0.0319,0.0571,0.2602,0.2835
81,Maize,0.523,0.6084269003767988,1.0485808249496673,0.0063,0.3924,0.523,0.0175,0.0609
82,Maize,0.2801,0.9624308898951071,0.6143127240098564,0.0877,0.1783,0.2801,0.2084,0.2455
83,Cotton,0.3761,0.935248394256687,0.7258906325920838,0.1297,0.3761,0.133,0.1306,0.2307
84,Cotton,0.7353,0.4707229540987919,0.9998642172343981,0.0085,0.7353,0.2128,0.0117,0.0318
85,Cotton,0.9663,0.10559656432773637,0.45230883794385235,0.0002,0.9663,0.0226,0.0001,0.0107
86,Cotton,0.9727,0.0883770947964227,0.4182393173905776,0.0001,0.9727,0.0199,0.0001,0.0072
87,Cotton,0.4366,0.8951516296598859,1.0022010589285917,0.1202,0.4366,0.209,0.0926,0.1415
88,Rice,0.37,0.8977134217362541,0.6550995269319222,0.37,0.1137,0.0529,0.2597,0.2037
89,Rice,0.3126,0.9679286618808813,0.7299120143175182,0.3126,0.1726,0.1156,0.1817,0.2175
90,Cotton,0.5144,0.7781648431511033,0.8047209618706854,0.0361,0.5144,0.1871,0.0487,0.2137
91,Cotton,0.7283,0.5701144029644791,0.7584902878083235,0.0617,0.7283,0.0962,0.0139,0.0999
92,Cotton,0.6413,0.6613686596492331,0.8030136518002255,0.0531,0.6413,0.119,0.0171,0.1694
93,Cotton,0.4779,0.8009424970628469,0.5912363873809319,0.0975,0.4779,0.0637,0.0623,0.2986
94,Cotton,0.6154,0.7337089890524306,0.7724775180790386,0.1152,0.6154,0.0834,0.0552,0.1308
95,Cotton,0.6777,0.5511038289449008,1.4105448800097058,0.0223,0.6777,0.2426,0.0133,0.044
96,Cotton,0.3456,0.8874328809990398,0.8923846090477342,0.0404,0.3456,0.2712,0.1042,0.2386
97,Cotton,0.2628,0.984498581945376,0.7745916818769389,0.2349,0.2628,0.1577,0.1453,0.1993
98,Cotton,0.729,0.5419363779136173,0.9402339012735041,0.0145,0.729,0.1544,0.027,0.0751
99,Cotton,0.907,0.2523161329520859,0.7310333858526824,0.0101,0.907,0.0569,0.0053,0.0207
100,Maize,0.4123,0.902115920516194,0.9561972154750136,0.0968,0.2439,0.4123,0.1265,0.1204
101,Cotton,0.5775,0.692951699386581,0.8906136607343976,0.0189,0.5775,0.2213,0.0286,0.1536
102,Cotton,0.6195,0.7073139680353765,0.828048609133395,0.0549,0.6195,0.1354,0.0387,0.1514
103,Cotton,0.963,0.1085994966431411,0.4341191102098144,0.0,0.963,0.031,0.0001,0.0058
104,Groundnut,0.3445,0.9478201247697339,0.9992542427177294,0.1534,0.2455,0.1168,0.1399,0.3445
105,Cotton,0.9783,0.07565485865633875,0.4155380059151289,0.0003,0.9783,0.012,0.0001,0.0094
106,Cotton,0.9662,0.1053371515846855,0.47687962780803905,0.0001,0.9662,0.0236,0.0001,0.01
107,Cotton,0.5353,0.7570684178270656,1.0636310677277063,0.0732,0.5353,0.2643,0.0392,0.088
108,Cotton,0.9778,0.07636675102405675,0.40661616551391405,0.0002,0.9778,0.0141,0.0001,0.0079
109,Cotton,0.4351,0.8182398061599474,0.6036043420091569,0.2596,0.4351,0.0488,0.0384,0.2182
110,Cotton,0.9827,0.06144952318228309,0.3769632131200776,0.0001,0.9827,0.0121,0.0001,0.005
111,Groundnut,0.4185,0.8758364071769529,0.8405251438535937,0.1838,0.2477,0.0689,0.0811,0.4185
112,Maize,0.5282,0.8016770067416169,0.9373422742290612,0.0712,0.2225,0.5282,0.0886,0.0894
113,Rice,0.3194,0.9195377447699968,0.7001918698930325,0.3194,0.2211,0.0618,0.1194,0.2782
114,Groundnut,0.3952,0.9098774351701167,0.7569492696438951,0.2504,0.1502,0.1043,0.1,0.3952
115,Cotton,0.5346,0.7549680894417388,0.7567078186602249,0.0329,0.5346,0.1547,0.0452,0.2327
116,Groundnut,0.3109,0.9495821097904419,0.8610274270049633,0.2842,0.1574,0.1148,0.1327,0.3109
117,Cotton,0.848,0.29323300762213145,1.1504531406650258,0.0018,0.848,0.1418,0.0013,0.0071
118,Rice,0.282,0.9801476404309934,0.6746255388406769,0.282,0.147,0.1642,0.169,0.2378
119,Cotton,0.7665,0.3650824016466555,1.3610909638625452,0.0013,0.7665,0.2248,0.0012,0.0062
120,Cotton,0.7155,0.44125768004880267,1.132820262514847,0.0029,0.7155,0.2561,0.0043,0.0211
121,Cotton,0.97,0.09560058652994471,0.41934169925639625,0.0005,0.97,0.0229,0.0002,0.0064
122,Groundnut,0.4245,0.8898977346950429,0.6710976282054749,0.0676,0.2056,0.1123,0.1901,0.4245
123,Cotton,0.4755,0.8097073798905952,0.5753883273239823,0.0808,0.4755,0.0833,0.066,0.2944
124,Groundnut,0.2856,0.9803514607274635,0.7296448509201703,0.1361,0.1756,0.2233,0.1794,0.2856
125,Groundnut,0.2724,0.980561578234067,0.8063677309280403,0.2288,0.1306,0.1629,0.2052,0.2724
126,Groundnut,0.4184,0.8972007353262671,0.7803116194002598,0.1242,0.2437,0.0938,0.1199,0.4184
127,Groundnut,0.3283,0.9296491434226016,0.7764681117423711,0.0796,0.2203,0.1126,0.2591,0.3283
128,Groundnut,0.2756,0.977031546977058,0.8646204181697723,0.1662,0.1996,0.1216,0.2369,0.2756
129,Groundnut,0.3607,0.9007544559980821,0.6858017949123485,0.0333,0.1899,0.204,0.212,0.3607
130,Cotton,0.3841,0.8827211782944075,0.9485651883304129,0.0657,0.3841,0.2694,0.0764,0.2043
131,Groundnut,0.3729,0.8956879681498898,0.6528109805415306,0.0854,0.1027,0.132,0.3071,0.3729
132,Bajra,0.3394,0.9345351421831098,0.9013081772810502,0.1891,0.1747,0.0658,0.3394,0.2311
133,Groundnut,0.2872,0.9507179960190606,0.8546822376027317,0.0686,0.2437,0.1964,0.204,0.2872
134,Groundnut,0.3145,0.9505600307162506,0.8665471863450556,0.1874,0.24,0.0805,0.1776,0.3145
135,Cotton,0.4232,0.8375580154086562,0.8734963503254422,0.0638,0.4232,0.2545,0.0395,0.219
136,Cotton,0.5531,0.6953910628160856,1.2675167039314212,0.0495,0.5531,0.3022,0.0278,0.0673
137,Cotton,0.9418,0.15185471592570488,0.43161788432296677,0.0002,0.9418,0.0512,0.0001,0.0066
138,Cotton,0.963,0.10996564283213572,0.4465198674259883,0.0001,0.963,0.0302,0.0001,0.0066
139,Groundnut,0.3744,0.9216747773356285,0.904461170314823,0.154,0.2553,0.0927,0.1236,0.3744
140,Cotton,0.4816,0.7483113572105158,0.582818634309461,0.0603,0.4816,0.0503,0.0581,0.3497
141,Maize,0.3604,0.8937113515117044,0.6557044311209231,0.0292,0.2163,0.3604,0.1693,0.2248
142,Groundnut,0.3145,0.9194099806145302,0.8320704764685201,0.0478,0.2142,0.2713,0.1523,0.3145
143,Cotton,0.4052,0.8802111106325639,0.8697325582436555,0.0559,0.4052,0.2525,0.0977,0.1886
144,Groundnut,0.4784,0.7148094080583778,0.8056985778454213,0.0243,0.3759,0.0674,0.0541,0.4784
145,Groundnut,0.3187,0.9575639003940667,0.9016431405084544,0.0934,0.2088,0.1688,0.2103,0.3187
146,Cotton,0.4908,0.8484002274663722,0.699393688451639,0.1337,0.4908,0.089,0.0844,0.2021
147,Cotton,0.8987,0.22322888754445663,0.8298477441034487,0.0003,0.8987,0.0931,0.0004,0.0075
148,Cotton,0.4475,0.8643051613918447,0.6224482744908146,0.1656,0.4475,0.0638,0.0918,0.2313
149,Maize,0.2854,0.9754818883140007,0.7780252833135429,0.1592,0.2228,0.2854,0.1227,0.2098
150,Cotton,0.3657,0.9396321478893707,0.8938995906872292,0.186,0.3657,0.1931,0.0897,0.1655
151,Cotton,0.5702,0.6338262032432367,1.2836433151390465,0.0143,0.5702,0.3224,0.0241,0.0689
152,Groundnut,0.2709,0.9705603091285435,1.0117535144692609,0.2552,0.2118,0.116,0.1462,0.2709
153,Cotton,0.3233,0.9428952367828006,0.6717755452051885,0.2188,0.3233,0.0908,0.1233,0.2437
154,Cotton,0.9683,0.09910248414452529,0.4720084737212295,0.0,0.9683,0.0229,0.0001,0.0086
155,Bajra,0.2874,0.9418884555458455,0.8510063166300589,0.2247,0.1069,0.0963,0.2874,0.2848
156,Groundnut,0.3244,0.969617856023446,0.9758071716166195,0.1334,0.1952,0.1748,0.1721,0.3244
157,Groundnut,0.3654,0.8978891722338114,0.7438425461098879,0.052,0.286,0.139,0.1576,0.3654
158,Maize,0.3912,0.8356622061371114,1.0656020583730637,0.1118,0.3554,0.3912,0.0448,0.0968
159,Cotton,0.5417,0.6967027671259213,1.2815867462307544,0.0508,0.5417,0.3128,0.0218,0.0729
160,Cotton,0.6229,0.710034852660324,0.7183161845700893,0.1102,0.6229,0.0877,0.0315,0.1477
161,Cotton,0.2801,0.9735820066671385,0.6830687814451766,0.1719,0.2801,0.1173,0.1828,0.2479
162,Cotton,0.2853,0.9802779279304141,0.8228483179395074,0.207,0.2853,0.1467,0.1483,0.2127
163,Cotton,0.9829,0.06132692536716204,0.35051890387857626,0.0002,0.9829,0.0115,0.0001,0.0053
164,Cotton,0.7254,0.5280288249458709,0.988637678920769,0.0262,0.7254,0.179,0.0099,0.0595
165,Groundnut,0.2956,0.9483638271837319,0.9881819593874422,0.1009,0.2793,0.205,0.1192,0.2956
166,Groundnut,0.323,0.9648361351192697,0.9313254647489936,0.136,0.2259,0.1752,0.14,0.323
167,Groundnut,0.3281,0.9448962056595834,0.7591921005870557,0.2346,0.1797,0.077,0.1806,0.3281
168,Groundnut,0.2576,0.9764269470074557,0.9352473409036782,0.1119,0.251,0.1784,0.2011,0.2576
169,Maize,0.6138,0.4905878710129548,1.217126153268451,0.0074,0.3604,0.6138,0.0111,0.0073
170,Groundnut,0.3827,0.9177708320446274,0.676709901325894,0.1693,0.1838,0.0636,0.2006,0.3827
171,Cotton,0.5722,0.7612761276384444,0.5980416613464711,0.0657,0.5722,0.0861,0.074,0.202
172,Groundnut,0.4536,0.8010102853594987,0.716278782883515,0.2267,0.2333,0.017,0.0695,0.4536
173,Cotton,0.9793,0.07060182982125882,0.3684576474274001,0.0004,0.9793,0.0157,0.0001,0.0044
174,Cotton,0.71,0.4642967477549937,1.1498085069403252,0.0051,0.71,0.2519,0.0074,0.0255
175,Cotton,0.4166,0.8673970626790839,0.679544894357921,0.0303,0.4166,0.1572,0.1613,0.2346
176,Cotton,0.3199,0.9321625236607568,0.5730626475189708,0.1779,0.3199,0.0666,0.1594,0.2762
177,Cotton,0.3525,0.941510932204034,0.6768040243766265,0.0925,0.3525,0.1509,0.1734,0.2307
178,Cotton,0.6718,0.6179362880663333,0.8802061338094243,0.0204,0.6718,0.1621,0.0287,0.117
179,Cotton,0.5088,0.8280407175548781,0.7605109287859644,0.0692,0.5088,0.1388,0.0846,0.1986
180,Bajra,0.4119,0.9046706415035219,0.823193977762455,0.1493,0.1271,0.0836,0.4119,0.228
181,Rice,0.297,0.9068415624787778,0.45660138363739544,0.297,0.0847,0.067,0.2969,0.2543
182,Rice,0.3647,0.8821423846458092,0.4694662237908205,0.3647,0.0961,0.0607,0.1587,0.3198
183,Rice,0.3761,0.9177820276561677,0.7707615109622818,0.3761,0.2645,0.1045,0.1062,0.1487
184,Rice,0.4157,0.8775721681396683,0.6912273263665125,0.4157,0.1854,0.0588,0.0952,0.2449
185,Cotton,0.3955,0.9285036196639846,0.9025350096119388,0.1606,0.3955,0.1745,0.0966,0.1728
186,Cotton,0.4672,0.8561358610040499,0.7256587411580594,0.0926,0.4672,0.1615,0.0651,0.2136
187,Cotton,0.46,0.8133631841440528,0.9283676016935294,0.0284,0.46,0.2619,0.0759,0.1738
188,Cotton,0.3677,0.908236451906888,0.6483178929135783,0.0781,0.3677,0.1468,0.1203,0.2872
189,Cotton,0.311,0.9416957138186968,0.8525828486277865,0.0723,0.311,0.1944,0.1596,0.2627
190,Groundnut,0.2618,0.9744889182920159,0.8736847328225154,0.2293,0.1793,0.1044,0.2253,0.2618
191,Cotton,0.3201,0.9162237664164418,1.048995843664347,0.0638,0.3201,0.3131,0.1638,0.1392
192,Bajra,0.3157,0.9226268719109905,0.737132765264795,0.2592,0.0752,0.0995,0.3157,0.2505
193,Groundnut,0.2983,0.9699336590084165,1.0488063832891508,0.1742,0.2477,0.1453,0.1345,0.2983
194,Rice,0.3121,0.9745838944877808,0.7955794801761733,0.3121,0.1999,0.1462,0.154,0.1878
195,Groundnut,0.3349,0.8838848327267711,0.8366596430417181,0.1877,0.3083,0.0299,0.1392,0.3349
196,Groundnut,0.3779,0.9052830096657081,0.7256677851070124,0.0727,0.1878,0.1038,0.2578,0.3779
197,Bajra,0.2672,0.9735726187817398,0.9225929930768375,0.1389,0.1326,0.1984,0.2672,0.263
198,Groundnut,0.2921,0.9543357894645432,0.7543301928568017,0.1712,0.1286,0.1173,0.2908,0.2921
199,Cotton,0.6508,0.6394137920877337,0.7754055526972362,0.022,0.6508,0.1532,0.0263,0.1477
200,Cotton,0.9838,0.057013183010422235,0.3127879443783031,0.0002,0.9838,0.0129,0.0001,0.0029
201,Groundnut,0.3146,0.9710060741945253,0.947663631095097,0.1602,0.2234,0.1505,0.1513,0.3146
202,Rice,0.4293,0.8987816127397363,0.6412676241396962,0.4293,0.1615,0.1139,0.0899,0.2053
203,Rice,0.4456,0.8603819331272293,0.5203434481735391,0.4456,0.0825,0.0634,0.1721,0.2365
204,Groundnut,0.3928,0.9000603414467725,0.6406293294199724,0.1287,0.1261,0.0802,0.2722,0.3928
205,Cotton,0.9818,0.06406138030357078,0.3525568031112713,0.0002,0.9818,0.0134,0.0002,0.0044
206,Cotton,0.6521,0.6010807342782247,0.9500931352744126,0.0119,0.6521,0.2145,0.0172,0.1043
207,Cotton,0.3866,0.885789166126687,0.7107723545405581,0.2464,0.3866,0.0556,0.0921,0.2193
208,Groundnut,0.2494,0.9696173039759706,0.9619358202380159,0.2483,0.236,0.0981,0.1681,0.2494
209,Cotton,0.6558,0.6378628468607428,0.9227603431582854,0.0146,0.6558,0.1786,0.0489,0.1021
210,Cotton,0.5334,0.812621787993268,0.7484940763835304,0.1186,0.5334,0.1049,0.0634,0.1796
211,Cotton,0.3903,0.7938131064859688,1.1276877565241237,0.0221,0.3903,0.3868,0.0836,0.1172
212,Rice,0.3168,0.9638538903071124,0.6852175780378773,0.3168,0.1688,0.1228,0.1533,0.2383
213,Cotton,0.9806,0.06776508811175667,0.3565568348497032,0.0003,0.9806,0.0141,0.0002,0.0048
214,Groundnut,0.3323,0.9162180867819528,0.9339595934710655,0.12,0.3188,0.142,0.087,0.3323
215,Groundnut,0.2902,0.9525118753790405,0.7200617537145142,0.1906,0.1354,0.0996,0.2843,0.2902
216,Cotton,0.9609,0.11757239632874161,0.5654065016899332,0.0004,0.9609,0.0303,0.0003,0.0082
217,Cotton,0.2968,0.9234608285211404,0.7712203558218056,0.0649,0.2968,0.2817,0.1143,0.2422
218,Cotton,0.9432,0.14515299309207083,0.7407080601885361,0.0003,0.9432,0.053,0.0003,0.0031
219,Cotton,0.9614,0.11464547599928027,0.5547703130054017,0.0005,0.9614,0.0315,0.0003,0.0062
220,Rice,0.257,0.9850435082859522,0.6421933617439358,0.257,0.1349,0.1707,0.231,0.2064
221,Rice,0.2963,0.9259770535396802,0.5263201318649942,0.2963,0.0985,0.078,0.2545,0.2727
222,Rice,0.399,0.891307729072016,0.501470369180596,0.399,0.1016,0.0619,0.2005,0.2369
223,Rice,0.2993,0.9021012615734079,0.479271843260518,0.2993,0.0636,0.0815,0.288,0.2676
224,Rice,0.2897,0.9836187403587335,0.66629759802345,0.2897,0.1488,0.1867,0.1796,0.1953
225,Rice,0.2899,0.9788949848838888,0.5999146646668807,0.2899,0.1375,0.1882,0.1625,0.2219
226,Rice,0.4707,0.8293546854140255,0.4911755993238807,0.4707,0.0488,0.0669,0.2097,0.2039
227,Rice,0.4735,0.8157443733897146,0.5631643150823558,0.4735,0.0949,0.0402,0.1174,0.274
228,Maize,0.3154,0.9450003032643672,0.9108824522945391,0.2469,0.2258,0.3154,0.1105,0.1015
229,Groundnut,0.3603,0.9070903831310511,0.6883828110684329,0.1949,0.1215,0.0581,0.2651,0.3603
230,Cotton,0.9592,0.11965630035578319,0.6019365757119178,0.0003,0.9592,0.033,0.0002,0.0073
231,Groundnut,0.2495,0.9868873849797624,0.9257823883412166,0.2143,0.1675,0.1397,0.2291,0.2495
232,Cotton,0.303,0.9768090456464159,0.7837864063867336,0.1366,0.303,0.1974,0.1976,0.1655
233,Rice,0.5528,0.7943198592257761,0.5836792651607897,0.5528,0.0867,0.0684,0.1149,0.1772
234,Groundnut,0.3251,0.9262654958106108,0.8035994325425484,0.2103,0.1408,0.0608,0.2631,0.3251
235,Cotton,0.5298,0.4766222313484473,1.6103532494452555,0.0036,0.5298,0.4566,0.0039,0.006
236,Groundnut,0.431,0.8525392920184925,0.839693133869505,0.1434,0.2814,0.0532,0.0909,0.431
237,Cotton,0.2771,0.9608349705690964,0.7940129334780939,0.27,0.2771,0.1471,0.0997,0.206
238,Cotton,0.4701,0.8059855161539853,0.6581045213376777,0.0885,0.4701,0.0831,0.0548,0.3035
239,Groundnut,0.3508,0.9423130628521188,0.7368541456907445,0.1751,0.1972,0.082,0.195,0.3508
240,Cotton,0.6101,0.6410675436836449,1.007216610061044,0.0215,0.6101,0.2634,0.0267,0.0784
241,Groundnut,0.3629,0.9474192031782187,0.7337484789502104,0.2092,0.1382,0.122,0.1678,0.3629
242,Bajra,0.3149,0.950566696238883,0.8180505813536495,0.1548,0.1307,0.1206,0.3149,0.279
243,Maize,0.34,0.958891382092701,0.7226268143221547,0.1226,0.2109,0.34,0.1515,0.175
244,Cotton,0.3656,0.9147104927702479,0.6833518232348376,0.0902,0.3656,0.1369,0.1227,0.2846
245,Rice,0.389,0.9160894280759228,0.5463124236469846,0.389,0.0805,0.1218,0.22,0.1888
246,Cotton,0.9819,0.06204575808535032,0.2900834127814678,0.0002,0.9819,0.0148,0.0001,0.0029
247,Cotton,0.5679,0.7838928920734765,0.8167388747132431,0.1237,0.5679,0.1247,0.0536,0.1301
248,Cotton,0.9587,0.12076136318709244,0.5808293269543272,0.0003,0.9587,0.0334,0.0003,0.0072
249,Groundnut,0.2702,0.9706681573370326,0.845586658679414,0.2278,0.2056,0.0952,0.2011,0.2702
250,Cotton,0.568,0.7549505485241359,0.749212595236234,0.0498,0.568,0.1335,0.0535,0.1952
251,Groundnut,0.3851,0.9222680801037321,0.7131187936030775,0.1736,0.1601,0.0748,0.2063,0.3851
252,Groundnut,0.3797,0.8897465880939222,0.6235647652188598,0.2419,0.1022,0.0513,0.2248,0.3797
253,Cotton,0.9743,0.08261030122607604,0.3625333863693063,0.0001,0.9743,0.0208,0.0001,0.0047
254,Groundnut,0.4847,0.8262551290194371,0.5427261210607134,0.2254,0.0984,0.0401,0.1514,0.4847
255,Bajra,0.2722,0.9717834406784773,0.7588093075170746,0.1507,0.1138,0.2237,0.2722,0.2396
256,Cotton,0.2818,0.9632623443822061,0.8090420581358309,0.2516,0.2818,0.0931,0.2033,0.1701
